compound_id,primary_drug,all_drug_names,smiles,smiles_source,mapping_status,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,mol_num_rings,mol_num_heteroatoms,mol_fraction_csp3,max_clinical_phase,clinical_status,primary_condition,data_source,compound_type,study_type,primary_phase,overall_status,lead_sponsor,sponsor_class,collected_date,efficacy_score,safety_score,success_probability
CHEMBL_CHEMBL243712,AMISULPRIDE,['AMISULPRIDE'],CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,CHEMBL243712,success,369.49,1.29,2.0,6.0,7.0,101.73,1.0,25.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.413437,,,
CHEMBL_CHEMBL1200628,VANCOMYCIN HYDROCHLORIDE,['VANCOMYCIN HYDROCHLORIDE'],CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O.Cl,CHEMBL1200628,success,1485.73,,,,,,,,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.415846,,,
CHEMBL_CHEMBL2105735,ASUNAPREVIR,['ASUNAPREVIR'],C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,CHEMBL2105735,success,748.30,3.85,3.0,10.0,11.0,182.33,2.0,51.0,0,,,3.77,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.351605,,,
CHEMBL_CHEMBL2103827,DROXIDOPA,['DROXIDOPA'],N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,CHEMBL2103827,success,213.19,-0.46,5.0,5.0,3.0,124.01,1.0,15.0,0,,,1.46,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.351360,,,
CHEMBL_CHEMBL416146,ETORICOXIB,['ETORICOXIB'],Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,CHEMBL416146,success,358.85,4.18,0.0,4.0,3.0,59.92,3.0,24.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.674529,,,
CHEMBL_CHEMBL1200861,TARTARIC ACID,['TARTARIC ACID'],O=C(O)[C@@H](O)[C@H](O)C(=O)O,CHEMBL1200861,success,150.09,-2.12,4.0,4.0,3.0,115.06,0.0,10.0,0,,,2.72,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.348738,,,
CHEMBL_CHEMBL1092067,FLUDEOXYGLUCOSE F 18,['FLUDEOXYGLUCOSE F 18'],OC[C@H]1O[C@H](O)[C@H]([18F])[C@@H](O)[C@@H]1O,CHEMBL1092067,success,181.15,-2.24,4.0,5.0,1.0,90.15,0.0,12.0,0,,,11.02,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.414959,,,
CHEMBL_CHEMBL3301611,AMIFAMPRIDINE PHOSPHATE,['AMIFAMPRIDINE PHOSPHATE'],Nc1ccncc1N.O=P(O)(O)O,CHEMBL3301611,success,207.13,0.25,2.0,3.0,0.0,64.93,1.0,8.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:47.282285,,,
CHEMBL_CHEMBL271227,ABIRATERONE ACETATE,['ABIRATERONE ACETATE'],CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,CHEMBL271227,success,391.56,5.97,0.0,3.0,2.0,39.19,1.0,29.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.413842,,,
CHEMBL_CHEMBL1200597,ETIDOCAINE HYDROCHLORIDE,['ETIDOCAINE HYDROCHLORIDE'],CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C.Cl,CHEMBL1200597,success,312.89,3.75,1.0,2.0,7.0,32.34,1.0,20.0,0,,,13.62,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.415770,,,
CHEMBL_CHEMBL1200912,PHENTERMINE HYDROCHLORIDE,['PHENTERMINE HYDROCHLORIDE'],CC(C)(N)Cc1ccccc1.Cl,CHEMBL1200912,success,185.70,1.97,1.0,1.0,2.0,26.02,1.0,11.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.348891,,,
CHEMBL_CHEMBL64391,ITRACONAZOLE,['ITRACONAZOLE'],CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,CHEMBL64391,success,705.65,5.58,0.0,12.0,11.0,104.70,5.0,49.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.676631,,,
CHEMBL_CHEMBL13376,CLOMETACIN,['CLOMETACIN'],COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,CHEMBL13376,success,357.79,3.93,1.0,4.0,5.0,68.53,3.0,25.0,0,,,3.66,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.674729,,,
CHEMBL_CHEMBL1909289,XENAZOIC ACID,['XENAZOIC ACID'],CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1,CHEMBL1909289,success,375.42,4.71,2.0,4.0,8.0,75.63,3.0,28.0,0,,,4.68,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.351104,,,
CHEMBL_CHEMBL529,AZITHROMYCIN,['AZITHROMYCIN'],CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CHEMBL529,success,749.00,1.90,5.0,14.0,7.0,180.08,0.0,52.0,0,,,12.43,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.674754,,,
CHEMBL_CHEMBL1200703,CHLORDIAZEPOXIDE HYDROCHLORIDE,['CHLORDIAZEPOXIDE HYDROCHLORIDE'],CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1.Cl,CHEMBL1200703,success,336.22,2.95,1.0,3.0,1.0,50.46,2.0,21.0,0,,,-2.69,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.415991,,,
CHEMBL_CHEMBL3989676,OXYPHENBUTAZONE,['OXYPHENBUTAZONE'],CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O,CHEMBL3989676,success,342.40,3.49,1.0,3.0,5.0,60.85,2.0,24.0,0,,,4.73,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:47.282807,,,
CHEMBL_CHEMBL30116,PIPEMIDIC ACID,['PIPEMIDIC ACID'],CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,CHEMBL30116,success,303.32,-0.08,2.0,7.0,3.0,100.35,2.0,22.0,0,,,5.11,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.675718,,,
CHEMBL_CHEMBL1430,PENICILLAMINE,['PENICILLAMINE'],CC(C)(S)[C@@H](N)C(=O)O,CHEMBL1430,success,149.21,0.11,3.0,3.0,2.0,63.32,0.0,9.0,0,,,2.56,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.413278,,,
CHEMBL_CHEMBL53292,ISOXICAM,['ISOXICAM'],Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,CHEMBL53292,success,335.34,1.48,2.0,6.0,2.0,112.74,2.0,23.0,0,,,4.36,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.676350,,,
CHEMBL_CHEMBL2105842,CORTIVAZOL,['CORTIVAZOL'],CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C=C(C)C4=Cc5c(cnn5-c5ccccc5)C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CHEMBL2105842,success,530.67,4.30,2.0,7.0,4.0,101.65,2.0,39.0,0,,,12.47,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.351666,,,
CHEMBL_CHEMBL288470,AMINOPYRINE,['AMINOPYRINE'],Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,CHEMBL288470,success,231.30,1.55,0.0,4.0,2.0,30.17,2.0,17.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.676043,,,
CHEMBL_CHEMBL1201269,CHLORPHENTERMINE,['CHLORPHENTERMINE'],CC(C)(N)Cc1ccc(Cl)cc1,CHEMBL1201269,success,183.68,2.62,1.0,1.0,2.0,26.02,1.0,12.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.349762,,,
CHEMBL_CHEMBL1717,TICLOPIDINE HYDROCHLORIDE,['TICLOPIDINE HYDROCHLORIDE'],Cl.Clc1ccccc1CN1CCc2sccc2C1,CHEMBL1717,success,300.25,3.96,0.0,2.0,2.0,3.24,2.0,17.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.414628,,,
CHEMBL_CHEMBL2105689,LULICONAZOLE,['LULICONAZOLE'],N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,CHEMBL2105689,success,354.29,5.06,0.0,5.0,2.0,41.61,2.0,21.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.351560,,,
CHEMBL_CHEMBL416,METHOXSALEN,['METHOXSALEN'],COc1c2occc2cc2ccc(=O)oc12,CHEMBL416,success,216.19,2.55,0.0,4.0,1.0,52.58,3.0,16.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.674099,,,
CHEMBL_CHEMBL1303,ROTIGOTINE,['ROTIGOTINE'],CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1,CHEMBL1303,success,315.48,4.27,1.0,3.0,6.0,23.47,2.0,22.0,0,,,10.03,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.412705,,,
CHEMBL_CHEMBL1200376,BETAMETHASONE BENZOATE,['BETAMETHASONE BENZOATE'],C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO,CHEMBL1200376,success,496.58,3.76,2.0,6.0,4.0,100.90,1.0,36.0,0,,,13.41,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.415310,,,
CHEMBL_CHEMBL12856,INAMRINONE,['INAMRINONE'],Nc1cc(-c2ccncc2)c[nH]c1=O,CHEMBL12856,success,187.20,1.02,2.0,3.0,1.0,71.77,2.0,14.0,0,,,11.01,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.674709,,,
CHEMBL_CHEMBL419,MAFENIDE,['MAFENIDE'],NCc1ccc(S(N)(=O)=O)cc1,CHEMBL419,success,186.24,-0.21,2.0,3.0,2.0,86.18,1.0,12.0,0,,,10.25,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.674118,,,
CHEMBL_CHEMBL1663,PERFLUTREN,['PERFLUTREN'],FC(F)(F)C(F)(F)C(F)(F)F,CHEMBL1663,success,188.02,2.75,0.0,0.0,0.0,0.00,0.0,11.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.414357,,,
CHEMBL_CHEMBL1682,SORBITOL,['SORBITOL'],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,CHEMBL1682,success,182.17,-3.59,6.0,6.0,5.0,121.38,0.0,12.0,0,,,12.59,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.414451,,,
CHEMBL_CHEMBL1201,THIOTHIXENE,['THIOTHIXENE'],CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,CHEMBL1201,success,443.64,3.47,0.0,5.0,5.0,43.86,2.0,30.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.677460,,,
CHEMBL_CHEMBL2105704,LENVATINIB MESYLATE,['LENVATINIB MESYLATE'],COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O.CS(=O)(=O)O,CHEMBL2105704,success,522.97,4.07,3.0,5.0,6.0,115.57,3.0,30.0,0,,,12.37,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.351569,,,
CHEMBL_CHEMBL1234886,OXYGEN,['OXYGEN'],O=O,CHEMBL1234886,success,32.00,0.07,0.0,2.0,0.0,34.14,0.0,2.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.350172,,,
CHEMBL_CHEMBL2111030,PROTHIPENDYL,['PROTHIPENDYL'],CN(C)CCCN1c2ccccc2Sc2cccnc21,CHEMBL2111030,success,285.42,3.64,0.0,4.0,4.0,19.37,2.0,20.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:47.281694,,,
CHEMBL_CHEMBL1200756,PYRIDOXINE HYDROCHLORIDE,['PYRIDOXINE HYDROCHLORIDE'],Cc1ncc(CO)c(CO)c1O.Cl,CHEMBL1200756,success,205.64,0.08,3.0,4.0,2.0,73.58,1.0,12.0,0,,,9.40,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.416097,,,
CHEMBL_CHEMBL1169,AMINOSALICYLIC ACID,['AMINOSALICYLIC ACID'],Nc1ccc(C(=O)O)c(O)c1,CHEMBL1169,success,153.14,0.67,3.0,3.0,1.0,83.55,1.0,11.0,0,,,3.68,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.677362,,,
CHEMBL_CHEMBL268164,CYCLOBARBITAL,['CYCLOBARBITAL'],CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CHEMBL268164,success,236.27,1.25,2.0,3.0,2.0,75.27,0.0,17.0,0,,,7.14,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.674259,,,
CHEMBL_CHEMBL1373,MODAFINIL,['MODAFINIL'],NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,CHEMBL1373,success,273.36,2.01,1.0,2.0,5.0,66.15,2.0,19.0,0,,,8.84,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.412989,,,
CHEMBL_CHEMBL1201236,CARBIDOPA ANHYDROUS,['CARBIDOPA ANHYDROUS'],C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,CHEMBL1201236,success,226.23,-0.05,5.0,5.0,4.0,115.81,1.0,16.0,0,,,2.35,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.349707,,,
CHEMBL_CHEMBL973,TERIFLUNOMIDE,['TERIFLUNOMIDE'],C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,CHEMBL973,success,270.21,3.00,2.0,3.0,2.0,73.12,1.0,19.0,0,,,5.48,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.676625,,,
CHEMBL_CHEMBL723,CARVEDILOL,['CARVEDILOL'],COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,CHEMBL723,success,406.48,3.74,3.0,5.0,10.0,75.74,4.0,30.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.675691,,,
CHEMBL_CHEMBL2105904,BARBITAL SODIUM,['BARBITAL SODIUM'],CCC1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],CHEMBL2105904,success,206.18,0.16,2.0,3.0,2.0,75.27,0.0,13.0,0,,,7.48,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.351676,,,
CHEMBL_CHEMBL1753,CLINDAMYCIN,['CLINDAMYCIN'],CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,CHEMBL1753,success,424.99,0.39,4.0,7.0,7.0,102.26,0.0,27.0,0,,,12.41,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.414800,,,
CHEMBL_CHEMBL122,ROFECOXIB,['ROFECOXIB'],CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CHEMBL122,success,314.36,2.56,0.0,4.0,3.0,60.44,2.0,22.0,0,,,13.12,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.675153,,,
CHEMBL_CHEMBL521686,OLAPARIB,['OLAPARIB'],O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,CHEMBL521686,success,434.47,2.35,1.0,4.0,4.0,86.37,3.0,32.0,0,,,9.96,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.414216,,,
