primary_drug,max_clinical_phase,trial_activity_count,trial_status_most_recent,first_trial_date,last_trial_date,approval_date_first,approved,active_trials,completed_trials,terminated_trials,data_source,created_at,last_updated
17 hydroxyprogesterone caproate intramuscular injections,0,1,WITHDRAWN,2005-07-01,2005-07-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.335898,2025-09-05 06:27:07.335900
177Lu-DOTATATE,0,1,ACTIVE_NOT_RECRUITING,2020-09-02,2020-09-02,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.337853,2025-09-05 06:27:07.337854
177Lu-LNC1004 Injection,0,1,RECRUITING,2025-03-24,2025-03-24,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.339812,2025-09-05 06:27:07.339813
17beta Estradiol,0,1,TERMINATED,2003-04-17,2003-04-17,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.341679,2025-09-05 06:27:07.341680
18 F-FP-DTBZ,0,1,COMPLETED,2013-07-02,2013-07-02,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.343594,2025-09-05 06:27:07.343596
18F DCFBC,0,1,COMPLETED,2014-07-12,2014-07-12,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.345462,2025-09-05 06:27:07.345463
18F-DCFPyl,0,1,RECRUITING,2024-04-01,2024-04-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.347341,2025-09-05 06:27:07.347342
18F-FAPI,0,1,UNKNOWN,2022-11-02,2022-11-02,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.349196,2025-09-05 06:27:07.349197
18F-FDG,0,3,RECRUITING,2022-05-18,2025-05-12,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.351117,2025-09-05 06:27:07.351119
18F-OP-801,0,1,RECRUITING,2023-02-02,2023-02-02,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.353035,2025-09-05 06:27:07.353036
18F-T807,0,1,UNKNOWN,2021-11-01,2021-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.354854,2025-09-05 06:27:07.354856
18F-fluorofuranylnorprogesterone,0,1,RECRUITING,2024-04-30,2024-04-30,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.356678,2025-09-05 06:27:07.356680
19(T2)28z1xx CAR T cells,0,1,ACTIVE_NOT_RECRUITING,2020-07-06,2020-07-06,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.358514,2025-09-05 06:27:07.358516
1L PEG + ASCORBIC ACID,0,1,COMPLETED,2021-10-01,2021-10-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.360444,2025-09-05 06:27:07.360446
"2% Mepivacaine with 1:100,000 epinephrine",0,1,COMPLETED,2024-02-10,2024-02-10,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.362363,2025-09-05 06:27:07.362365
2% chlorhexidine gluconate in 70% alcohol,0,1,COMPLETED,2012-01-01,2012-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.364208,2025-09-05 06:27:07.364210
2-methoxyestradiol,0,1,COMPLETED,2001-03-01,2001-03-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.366086,2025-09-05 06:27:07.366088
2.5mg/d Hetrombopag,0,1,UNKNOWN,2022-05-01,2022-05-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.367968,2025-09-05 06:27:07.367970
20 mg VEC-162,0,1,COMPLETED,2006-02-01,2006-02-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.369770,2025-09-05 06:27:07.369771
20 mg baclofen vaginal suppository daily per vagina,0,1,RECRUITING,2024-01-01,2024-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.371700,2025-09-05 06:27:07.371702
20 million Allogeneic Mesenchymal Human Stem Cells,0,1,COMPLETED,2017-10-20,2017-10-20,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.373561,2025-09-05 06:27:07.373563
20% betulinic acid ointment,0,1,WITHDRAWN,2006-01-01,2006-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.375444,2025-09-05 06:27:07.375445
200 mg emtricitabine and 300 mg tenofovir disoproxil fumarate,0,1,COMPLETED,2017-08-03,2017-08-03,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.377306,2025-09-05 06:27:07.377307
200mg Cannabidiol by capsules twice daily,0,1,COMPLETED,2021-10-05,2021-10-05,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.379200,2025-09-05 06:27:07.379201
20mg daily citalopram,0,1,COMPLETED,2005-11-01,2005-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.381015,2025-09-05 06:27:07.381016
250 mg SRT2104 Suspension,0,1,COMPLETED,2008-11-22,2008-11-22,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.382942,2025-09-05 06:27:07.382943
2LVERU® or 2LVERU® JUNIOR,0,1,RECRUITING,2020-02-17,2020-02-17,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.384784,2025-09-05 06:27:07.384785
"3,4-methylenedioxymethamphetamine",0,1,RECRUITING,2025-03-01,2025-03-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.386629,2025-09-05 06:27:07.386631
3.70 GBq (100 mCi) of 177Lu-JH04,0,1,RECRUITING,2024-08-21,2024-08-21,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.388536,2025-09-05 06:27:07.388537
30 ml %0.25 bupivacaine,0,1,COMPLETED,2019-01-01,2019-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.390409,2025-09-05 06:27:07.390411
30% oral glucose,0,1,RECRUITING,2023-05-02,2023-05-02,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.392272,2025-09-05 06:27:07.392273
300 mg Cannabidiol (CBD) oil,0,1,COMPLETED,2021-04-01,2021-04-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.394246,2025-09-05 06:27:07.394248
3BNC117-LS,0,1,ACTIVE_NOT_RECRUITING,2022-12-07,2022-12-07,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.396133,2025-09-05 06:27:07.396134
3L PEG + Linaclotide,0,1,COMPLETED,2022-05-25,2022-05-25,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.397989,2025-09-05 06:27:07.397991
4% Topical Lidocaine Gel,0,1,UNKNOWN,2018-03-20,2018-03-20,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.399866,2025-09-05 06:27:07.399867
40mg lurasidone,0,1,COMPLETED,2014-04-01,2014-04-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.401704,2025-09-05 06:27:07.401706
4cycles(Toripalimab IV 240mg + platinum-based doublet chemotherapy)+13 cycles(Toripalimab IV 240mg); Biological: Toripalimab,0,1,ACTIVE_NOT_RECRUITING,2020-04-07,2020-04-07,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.403633,2025-09-05 06:27:07.403634
5 Fluorouracil with hyaluronic acid,0,1,COMPLETED,2008-02-01,2008-02-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.405458,2025-09-05 06:27:07.405460
5 mg Serlopitant Tablets,0,1,COMPLETED,2017-10-03,2017-10-03,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.407308,2025-09-05 06:27:07.407310
5-Fluorouracil,0,2,UNKNOWN,1998-11-01,2009-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.409190,2025-09-05 06:27:07.409192
5-aminolevulinic acid (5-ALA),0,1,NOT_YET_RECRUITING,2025-08-01,2025-08-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.411089,2025-09-05 06:27:07.411090
50 mg AVL-292,0,1,COMPLETED,2012-08-01,2012-08-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.412920,2025-09-05 06:27:07.412922
50mcg estradiol cream,0,1,COMPLETED,2017-06-20,2017-06-20,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.414869,2025-09-05 06:27:07.414870
56mg esketamine (2x Spravato® 28 mg nasal spray),0,1,COMPLETED,2022-06-01,2022-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.416725,2025-09-05 06:27:07.416727
5mg/kg omalizumab injection,0,1,RECRUITING,2025-06-01,2025-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.418603,2025-09-05 06:27:07.418604
6% Hydroxy-ethyl starch (130/0.4),0,1,COMPLETED,2009-12-01,2009-12-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.420454,2025-09-05 06:27:07.420455
64Cu-FBP8,0,1,RECRUITING,2019-05-13,2019-05-13,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.422316,2025-09-05 06:27:07.422318
68Ga-DOTATATE,0,1,RECRUITING,2025-02-07,2025-02-07,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.424248,2025-09-05 06:27:07.424249
68Ga-Dotatate,0,1,COMPLETED,1993-12-15,1993-12-15,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.426096,2025-09-05 06:27:07.426097
68Ga-FAPI,0,1,RECRUITING,2024-07-01,2024-07-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.427959,2025-09-05 06:27:07.427961
68Ga-ICAM-1pep,0,1,RECRUITING,2024-09-20,2024-09-20,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.429844,2025-09-05 06:27:07.429846
68Ga-PSMA-11,0,1,RECRUITING,2020-10-10,2020-10-10,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.431722,2025-09-05 06:27:07.431723
68Ga-PSMA-617 PET/CT,0,1,COMPLETED,2019-07-11,2019-07-11,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.433626,2025-09-05 06:27:07.433627
68Ga-Pentixather,0,1,UNKNOWN,2021-08-11,2021-08-11,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.435488,2025-09-05 06:27:07.435490
7-hydroxystaurosporine,0,2,UNKNOWN,2002-12-01,2004-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.437202,2025-09-05 06:27:07.437204
744 Tablet,0,1,COMPLETED,2014-03-27,2014-03-27,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.439098,2025-09-05 06:27:07.439099
75 mg linzagolix tablet,0,1,COMPLETED,2020-03-05,2020-03-05,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.440911,2025-09-05 06:27:07.440912
89Zr-bevacizumab,0,1,UNKNOWN,2013-05-01,2013-05-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.442593,2025-09-05 06:27:07.442594
99mTc-PYP,0,1,COMPLETED,2023-07-14,2023-07-14,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.444445,2025-09-05 06:27:07.444447
"A MENOPUR solution for injection in pre-filled pen, 600 IU/0.96 mL",0,1,COMPLETED,2021-11-02,2021-11-02,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.446387,2025-09-05 06:27:07.446389
A-101 Vehicle,0,1,COMPLETED,2014-06-01,2014-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.448180,2025-09-05 06:27:07.448182
A006 DPI,0,1,COMPLETED,2014-07-01,2014-07-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.450175,2025-09-05 06:27:07.450176
A:JNJ-39758979/Placebo #1,0,1,COMPLETED,2010-02-01,2010-02-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.452070,2025-09-05 06:27:07.452071
ABBV-383 (Etentamig),0,1,RECRUITING,2024-04-01,2024-04-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.453924,2025-09-05 06:27:07.453926
ABBV-722,0,1,RECRUITING,2024-10-29,2024-10-29,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.455782,2025-09-05 06:27:07.455783
ABI-007,0,1,TERMINATED,2005-11-01,2005-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.457629,2025-09-05 06:27:07.457630
ABI-009,0,1,TERMINATED,2018-11-05,2018-11-05,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.459559,2025-09-05 06:27:07.459560
ABI-1968,0,1,COMPLETED,2018-01-01,2018-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.461411,2025-09-05 06:27:07.461412
ABL503,0,1,RECRUITING,2021-04-01,2021-04-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.463325,2025-09-05 06:27:07.463326
ABP 501,0,1,COMPLETED,2014-11-24,2014-11-24,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.465205,2025-09-05 06:27:07.465206
ABT-143,0,1,COMPLETED,2008-12-01,2008-12-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.466930,2025-09-05 06:27:07.466931
ABT-199,0,1,COMPLETED,2013-11-01,2013-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.468799,2025-09-05 06:27:07.468800
ABT-263,0,1,COMPLETED,2009-10-01,2009-10-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.470629,2025-09-05 06:27:07.470631
ABT-335,0,1,COMPLETED,2007-06-01,2007-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.472475,2025-09-05 06:27:07.472477
ABT-450,0,2,COMPLETED,2011-02-01,2011-10-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.474356,2025-09-05 06:27:07.474357
ABT-719,0,1,COMPLETED,2013-02-01,2013-02-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.476223,2025-09-05 06:27:07.476225
ABT-751,0,1,COMPLETED,2003-09-01,2003-09-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.478072,2025-09-05 06:27:07.478073
ABT-869,0,1,COMPLETED,2007-06-01,2007-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.479897,2025-09-05 06:27:07.479898
ABT-894,0,1,COMPLETED,2007-11-01,2007-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.481729,2025-09-05 06:27:07.481731
ABVD regimen,0,1,TERMINATED,2008-05-01,2008-05-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.483572,2025-09-05 06:27:07.483574
"ABX, cisplatin",0,1,COMPLETED,2016-03-01,2016-03-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.485407,2025-09-05 06:27:07.485408
AC-1204 mixed in water,0,1,COMPLETED,2016-11-01,2016-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.487247,2025-09-05 06:27:07.487248
AC0058TA,0,1,COMPLETED,2016-05-01,2016-05-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.489107,2025-09-05 06:27:07.489108
ACEI/CCB,0,1,COMPLETED,2018-06-01,2018-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.491034,2025-09-05 06:27:07.491036
ACETAZOLAMIDE oral capsule,0,1,COMPLETED,2017-05-24,2017-05-24,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.492871,2025-09-05 06:27:07.492872
"ACEi / ARB, SGLT2i, finerenone, semaglutide, pentoxifylline, hydrochlorthiazide, baricitinib",0,1,TERMINATED,2023-08-01,2023-08-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.494794,2025-09-05 06:27:07.494796
ACP-104,0,1,COMPLETED,2007-06-01,2007-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.496638,2025-09-05 06:27:07.496639
ACT-129968,0,1,COMPLETED,2011-12-01,2011-12-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.498493,2025-09-05 06:27:07.498494
ACT-389949 1 mg,0,1,COMPLETED,2011-11-01,2011-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.500322,2025-09-05 06:27:07.500324
ACTH,0,2,COMPLETED,2009-11-01,2009-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.502245,2025-09-05 06:27:07.502247
ACTHAR Gel (adrenocorticotropic hormone),0,1,UNKNOWN,2015-02-01,2015-02-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.504072,2025-09-05 06:27:07.504074
ACZ885,0,1,COMPLETED,2011-11-01,2011-11-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.506025,2025-09-05 06:27:07.506027
AD-214 10/600mg,0,1,COMPLETED,2020-08-28,2020-08-28,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.507949,2025-09-05 06:27:07.507950
ADC-189 and Itraconazole,0,1,COMPLETED,2024-07-16,2024-07-16,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.509814,2025-09-05 06:27:07.509815
ADH-1,0,1,COMPLETED,2013-04-09,2013-04-09,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.511776,2025-09-05 06:27:07.511778
ADJUVANT ENDOCRINE THERAPY,0,1,RECRUITING,2021-01-11,2021-01-11,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.513631,2025-09-05 06:27:07.513632
ADS-5102 (extended release amantadine HCl),0,1,COMPLETED,2011-07-01,2011-07-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.515523,2025-09-05 06:27:07.515525
ADT,0,1,ACTIVE_NOT_RECRUITING,2018-01-17,2018-01-17,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.517377,2025-09-05 06:27:07.517379
ADU-1805,0,1,RECRUITING,2023-04-03,2023-04-03,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.519254,2025-09-05 06:27:07.519255
AEONTM Repair,0,1,UNKNOWN,2019-10-14,2019-10-14,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.521122,2025-09-05 06:27:07.521124
AFLIBERCEPT,0,1,COMPLETED,2012-08-01,2012-08-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.522951,2025-09-05 06:27:07.522953
AFP464,0,1,TERMINATED,2006-06-01,2006-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.524697,2025-09-05 06:27:07.524699
AG-920,0,1,COMPLETED,2021-03-30,2021-03-30,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.526582,2025-09-05 06:27:07.526584
AGN-229666,0,1,COMPLETED,2014-03-01,2014-03-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.528428,2025-09-05 06:27:07.528429
AIN457,0,1,COMPLETED,2021-06-24,2021-06-24,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.530384,2025-09-05 06:27:07.530386
AIN457 (secukinumab),0,1,COMPLETED,2016-08-22,2016-08-22,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.532276,2025-09-05 06:27:07.532277
AK104,0,1,RECRUITING,2023-10-11,2023-10-11,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.534168,2025-09-05 06:27:07.534169
AK104+anlotinib,0,1,UNKNOWN,2020-09-01,2020-09-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.536012,2025-09-05 06:27:07.536013
AK105，Anrotinib hydrochloride,0,1,ENROLLING_BY_INVITATION,2022-09-01,2022-09-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.537885,2025-09-05 06:27:07.537886
AK111,0,1,COMPLETED,2023-03-31,2023-03-31,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.539785,2025-09-05 06:27:07.539786
AK117 in combination with AK112,0,1,RECRUITING,2024-10-30,2024-10-30,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.541653,2025-09-05 06:27:07.541654
AK135,0,1,NOT_YET_RECRUITING,2025-02-28,2025-02-28,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.543593,2025-09-05 06:27:07.543594
AK3280,0,1,COMPLETED,2019-10-03,2019-10-03,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.545457,2025-09-05 06:27:07.545458
AL-12182 0.003% Ophthalmic Solution,0,1,COMPLETED,2003-07-01,2003-07-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.547320,2025-09-05 06:27:07.547322
AL-335,0,1,COMPLETED,2015-07-31,2015-07-31,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.549211,2025-09-05 06:27:07.549213
AL2846 Capsules,0,1,RECRUITING,2025-04-18,2025-04-18,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.551067,2025-09-05 06:27:07.551068
AL8326 tablets,0,1,ACTIVE_NOT_RECRUITING,2022-05-19,2022-05-19,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.552946,2025-09-05 06:27:07.552947
