chembl_id,inchikey,canonical_smiles,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,tox_herg_risk,tox_cyp_risk,tox_ames_risk,tox_dili_risk,tox_bbb_permeability,tox_herg_ic50_uM,tox_herg_n_points,approved
CHEMBL10307,CHEMBL10307_KEY,CCCCCCCN(CCCCCSc1nc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)[nH]1)C(=O)Nc1ccc(F)cc1F,650.84,9.81,2.0,5.0,18.0,79.48,4.0,46.0,0,high,high,high,high,medium,,,0
CHEMBL10313,CHEMBL10313_KEY,CCCC(=O)C(O)(Cn1cncn1)c1ccc(Cl)cc1,293.75,2.19,1.0,5.0,6.0,68.01,2.0,20.0,0,medium,medium,medium,low,high,,,0
CHEMBL10317,CHEMBL10317_KEY,CN(CCc1ccc2c(c1)OCO2)C[C@@H]1CC[C@H]2CCOc3cccc1c32,365.47,4.33,0.0,4.0,5.0,30.93,2.0,27.0,0,high,medium,medium,medium,high,,,0
CHEMBL10321,CHEMBL10321_KEY,CCN(CC)CCC(=O)Nc1c(C)cccc1C,248.37,2.97,1.0,2.0,6.0,32.34,1.0,18.0,0,medium,low,low,low,high,,,0
CHEMBL10324,CHEMBL10324_KEY,CC(O)(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,412.7,4.03,2.0,5.0,5.0,71.17,3.0,26.0,0,high,high,medium,medium,high,,,0
CHEMBL10326,CHEMBL10326_KEY,O=C(c1ccccn1)C(O)(Cn1cncn1)c1ccccn1,295.3,0.84,1.0,7.0,5.0,93.79,3.0,22.0,0,low,low,medium,low,medium,,,0
CHEMBL10327,CHEMBL10327_KEY,CC(C)Oc1ccccc1N1CCN(Cc2ccccc2C(=O)N2CCCCC2)CC1,421.59,4.42,0.0,4.0,6.0,36.02,2.0,31.0,0,high,high,medium,medium,high,,,0
CHEMBL10331,CHEMBL10331_KEY,O=C1CCC(c2ccccc2)(C2CCN(Cc3ccccc3F)CC2)C(=O)N1,380.46,3.41,1.0,3.0,4.0,49.41,2.0,28.0,0,high,medium,medium,medium,high,,,0
CHEMBL10332,CHEMBL10332_KEY,COC1(C2=NCCN2)COc2ccccc2O1,234.25,0.8,1.0,5.0,2.0,52.08,1.0,17.0,0,low,low,low,low,high,,,0
CHEMBL10333,CHEMBL10333_KEY,CCCCCCCC(NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,436.6,7.73,1.0,2.0,10.0,41.99,4.0,33.0,0,high,high,high,medium,high,,,0
CHEMBL10342,CHEMBL10342_KEY,CC(C)(C)C(=O)Oc1ccc(Cc2ccc(OC(=O)C(C)(C)C)cc2)cc1,368.47,5.18,0.0,4.0,4.0,52.6,2.0,27.0,0,high,medium,medium,medium,high,,,0
CHEMBL10352,CHEMBL10352_KEY,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(CCNS(C)(=O)=O)c(=O)nc1SCc1ccc(F)cc1,747.88,5.82,1.0,8.0,17.0,104.61,4.0,51.0,0,high,high,high,high,medium,,,0
CHEMBL103667,CHEMBL103667_KEY,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,527.67,5.99,2.0,6.0,7.0,80.65,4.0,39.0,0,high,high,high,high,medium,,,0
CHEMBL103735,CHEMBL103735_KEY,CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1,336.61,5.57,0.0,2.0,10.0,6.48,0.0,24.0,0,high,medium,low,medium,high,,,0
CHEMBL10378,CHEMBL10378_KEY,O=c1oc(-c2ccccc2I)nc2ccccc12,349.13,3.46,0.0,3.0,1.0,43.1,3.0,18.0,0,high,medium,medium,medium,high,,,0
CHEMBL10380,CHEMBL10380_KEY,O=c1oc(Nc2ccccc2I)nc2cc(C3CCCCC3)ccc12,446.29,5.58,1.0,4.0,3.0,55.13,3.0,25.0,0,high,high,medium,medium,high,,,0
CHEMBL10381,CHEMBL10381_KEY,O=C(O)c1c(O)c(Cl)cc(Cl)c1Cl,241.46,3.05,2.0,2.0,1.0,57.53,1.0,13.0,0,medium,low,low,low,high,,,0
CHEMBL10384,CHEMBL10384_KEY,O=P(O)(O)CN[C@@H](CCc1ccccc1)c1nnn[nH]1,297.25,0.6,4.0,5.0,7.0,124.02,2.0,20.0,0,low,low,medium,low,medium,,,0
CHEMBL10389,CHEMBL10389_KEY,O=C(c1ccc(F)cc1)C(O)(Cn1ccnc1)c1ccc(Cl)cc1Cl,379.22,4.1,1.0,4.0,5.0,55.12,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL10390,CHEMBL10390_KEY,CC(C)C(=O)C(O)(Cn1ccnc1)c1ccc(Cl)cc1,292.77,2.65,1.0,4.0,5.0,55.12,2.0,20.0,0,medium,medium,medium,low,high,,,0
CHEMBL10392,CHEMBL10392_KEY,CC(C)c1ccc2c(=O)oc(Nc3ccccc3I)nc2c1,406.22,4.66,1.0,4.0,3.0,55.13,3.0,22.0,0,high,high,medium,medium,high,,,0
CHEMBL10394,CHEMBL10394_KEY,O=C1O[C@H](c2ccc(Cl)cc2)[C@](Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,424.67,5.04,0.0,6.0,4.0,66.24,3.0,27.0,0,high,high,medium,medium,high,,,0
CHEMBL10401,CHEMBL10401_KEY,O=C(c1ccc(Cl)cc1Cl)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,431.11,4.66,1.0,5.0,5.0,68.01,3.0,26.0,0,high,high,medium,medium,high,,,0
CHEMBL10408,CHEMBL10408_KEY,C=CCN1CCC2c3cccc(O)c3CC[C@H]21,229.32,2.68,1.0,2.0,2.0,23.47,1.0,17.0,0,medium,low,low,low,high,,,0
CHEMBL104186,CHEMBL104186_KEY,CCCCCC1(CCCCC)Cc2c(cc(C(C)(C)C)c(O)c2C(C)(C)C)O1,388.64,7.82,1.0,2.0,8.0,29.46,1.0,28.0,0,high,medium,low,medium,high,,,0
CHEMBL10419,CHEMBL10419_KEY,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CC#N)c(O)ccc3nc2-1,403.39,1.85,2.0,8.0,2.0,125.44,3.0,30.0,0,low,low,medium,low,medium,,,0
CHEMBL10435,CHEMBL10435_KEY,O=c1oc(Nc2ccccc2I)nc2cc(F)ccc12,382.13,3.68,1.0,4.0,2.0,55.13,3.0,20.0,0,high,medium,medium,medium,high,,,0
CHEMBL10444,CHEMBL10444_KEY,O=C1O[C@H](c2ccc(F)cc2)[C@@](Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,408.22,4.53,0.0,6.0,4.0,66.24,3.0,27.0,0,high,high,medium,medium,high,,,0
CHEMBL10449,CHEMBL10449_KEY,O=C1O[C@H](c2ccc(F)cc2)[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,407.23,5.13,0.0,5.0,4.0,53.35,3.0,27.0,0,high,high,medium,medium,high,,,0
CHEMBL104515,CHEMBL104515_KEY,COc1ccccc1N1CCN(CCCC(O)c2ccc(F)cc2)CC1,358.46,3.47,1.0,4.0,7.0,35.94,2.0,26.0,0,high,medium,medium,medium,high,,,0
CHEMBL10475,CHEMBL10475_KEY,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC[C@H](C)[C@H](O)C21,332.48,4.79,2.0,3.0,4.0,49.69,1.0,24.0,0,high,medium,low,medium,high,,,0
CHEMBL10476,CHEMBL10476_KEY,COCCN(C)CC(C(=O)Nc1c(C)cccc1C)N(C)CCOC,351.49,1.77,1.0,5.0,11.0,54.04,1.0,25.0,0,low,low,low,low,high,,,0
CHEMBL10489,CHEMBL10489_KEY,OC(c1ccc(F)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,382.22,3.35,2.0,5.0,5.0,71.17,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL104943,CHEMBL104943_KEY,NCCO,61.08,-1.06,2.0,2.0,1.0,46.25,0.0,4.0,0,low,low,low,low,high,,,0
CHEMBL105060,CHEMBL105060_KEY,CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,624.41,6.06,2.0,3.0,7.0,78.51,2.0,41.0,0,high,high,medium,high,medium,,,0
CHEMBL10511,CHEMBL10511_KEY,CC(c1ccccc1)C1C(=O)NC(=O)C1CCC(C(N)=O)C(CCC(CC(=O)O)C(N)=O)C(=O)O.N.N,523.59,0.62,5.0,6.0,14.0,206.95,1.0,35.0,0,low,low,low,low,low,,,0
CHEMBL10513,CHEMBL10513_KEY,Nc1c(O)c(Cl)cc(Cl)c1Cl,212.46,2.93,2.0,2.0,0.0,46.25,1.0,11.0,0,medium,low,low,low,high,,,0
CHEMBL10517,CHEMBL10517_KEY,CCCCC(NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,394.52,6.56,1.0,2.0,7.0,41.99,4.0,30.0,0,high,medium,high,medium,high,,,0
CHEMBL10529,CHEMBL10529_KEY,CC(C)(C)C(=O)Oc1ccc(C(O)c2ccc(OC(=O)C(C)(C)C)cc2)cc1,384.47,4.67,1.0,5.0,4.0,72.83,2.0,28.0,0,high,medium,medium,medium,high,,,0
CHEMBL10531,CHEMBL10531_KEY,O=C1O[C@H](c2ccc(Cl)cc2)[C@@](Cn2cncn2)(c2ccc(Cl)cc2)O1,390.23,4.39,0.0,6.0,4.0,66.24,3.0,26.0,0,high,medium,medium,medium,high,,,0
CHEMBL105318,CHEMBL105318_KEY,Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,244.22,-0.54,2.0,5.0,2.0,84.32,1.0,17.0,0,low,low,low,low,high,,,0
CHEMBL105442,CHEMBL105442_KEY,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,478.66,5.04,2.0,3.0,6.0,50.36,2.0,25.0,0,high,high,medium,medium,medium,,,0
CHEMBL10545,CHEMBL10545_KEY,Cc1nc(N)ccc1CNC(=O)Cn1c(C)cc2c(c1=O)NC(=O)[C@H](Cc1ccccc1)C2,445.52,2.11,3.0,6.0,6.0,119.11,3.0,33.0,0,medium,medium,medium,low,medium,,,0
CHEMBL10546,CHEMBL10546_KEY,O=C1c2ccccc2C(=O)N1OCCCN1CCN(c2nsc3ccccc23)CC1,422.51,3.04,0.0,7.0,6.0,65.98,3.0,30.0,0,high,medium,medium,medium,high,,,0
CHEMBL10548,CHEMBL10548_KEY,O=C(c1ccccc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,362.22,3.36,1.0,5.0,5.0,68.01,3.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL10558,CHEMBL10558_KEY,CCCCCc1ccc2nc(O)c(C(=O)Nc3ccc(OCCCCCCCC(=O)O)cc3)c(O)c2c1,508.62,6.44,4.0,6.0,15.0,128.98,3.0,37.0,0,high,high,medium,high,medium,,,0
CHEMBL10559,CHEMBL10559_KEY,COc1ccc(/C=C/Cc2cc3c(cc2OC)OCO3)cc1,298.34,3.69,0.0,4.0,5.0,36.92,2.0,22.0,0,medium,medium,medium,low,high,,,0
CHEMBL10561,CHEMBL10561_KEY,CCCN1[C@H](C)CC2c3c(cccc3OC)CC[C@H]21,259.39,3.6,0.0,2.0,3.0,12.47,1.0,19.0,0,medium,medium,low,low,high,,,0
CHEMBL10567,CHEMBL10567_KEY,O=C(c1ccc(Cl)cc1Cl)C(O)(Cn1ccnc1)c1ccc(Cl)cc1,395.67,4.61,1.0,4.0,5.0,55.12,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL10568,CHEMBL10568_KEY,O=C(c1ccccc1Cl)C(O)(Cn1ccnc1)c1ccccc1Cl,361.23,3.96,1.0,4.0,5.0,55.12,3.0,24.0,0,high,medium,medium,medium,high,,,0
CHEMBL10573,CHEMBL10573_KEY,COc1cc(NC(=O)COc2ccc(Cl)cc2)c(Cl)cc1C(=O)NCc1cccnc1,460.32,4.34,2.0,5.0,8.0,89.55,3.0,31.0,0,high,high,medium,medium,medium,,,0
CHEMBL10590,CHEMBL10590_KEY,COc1ccc(C#Cc2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)s2)cc1,465.55,3.33,2.0,5.0,6.0,92.7,3.0,32.0,0,high,medium,medium,medium,medium,,,0
CHEMBL10593,CHEMBL10593_KEY,O=C(c1ccc(Cl)cc1Cl)C(O)(Cn1cncn1)c1ccc(Cl)cc1,396.66,4.01,1.0,5.0,5.0,68.01,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL10594,CHEMBL10594_KEY,O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)C1CCCC1,319.79,2.74,1.0,5.0,5.0,68.01,2.0,22.0,0,medium,medium,medium,low,high,,,0
CHEMBL10595,CHEMBL10595_KEY,CC(C)C(C)(O)C(O)(Cn1cncn1)c1ccccc1,275.35,1.57,2.0,5.0,5.0,71.17,2.0,20.0,0,low,low,medium,low,high,,,0
CHEMBL10599,CHEMBL10599_KEY,OC1(c2ccccc2)CN(CCBr)CCO1,286.17,1.56,1.0,3.0,3.0,32.7,1.0,16.0,0,low,low,low,low,high,,,0
CHEMBL10602,CHEMBL10602_KEY,CN(C)CC(c1ccccc1)c1ccccc1,225.34,3.38,0.0,1.0,4.0,3.24,2.0,17.0,0,medium,low,medium,low,high,,,0
CHEMBL10613,CHEMBL10613_KEY,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CCN)c(O)ccc3nc2-1,407.43,1.29,3.0,8.0,3.0,127.67,3.0,30.0,0,low,low,medium,low,medium,,,0
CHEMBL10618,CHEMBL10618_KEY,CC(=O)N(C)CC#CCN1CCCCC1CO,238.33,0.31,1.0,3.0,3.0,43.78,0.0,17.0,0,low,low,low,low,high,,,0
CHEMBL10619,CHEMBL10619_KEY,CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(CCN)c(=O)nc1SCc1ccc(F)cc1,669.79,6.23,1.0,7.0,15.0,84.46,4.0,47.0,0,high,high,high,high,medium,,,0
CHEMBL10620,CHEMBL10620_KEY,COc1cc(NC(=O)COc2ccc(Cl)cc2)c(Cl)cc1NCCN1CCCC1,438.36,4.53,2.0,5.0,9.0,62.83,2.0,29.0,0,high,high,medium,medium,high,,,0
CHEMBL10621,CHEMBL10621_KEY,CC(N)C(c1ccccc1)c1ccccc1,211.31,3.17,1.0,1.0,3.0,26.02,2.0,16.0,0,medium,low,medium,low,high,,,0
CHEMBL10624,CHEMBL10624_KEY,CCN(CC)CCNC(=O)c1cc(Cl)c(NC(=O)C(C)Oc2ccc(Cl)cc2)cc1OC,482.41,4.48,2.0,5.0,11.0,79.9,2.0,32.0,0,high,high,medium,medium,medium,,,0
