2025-09-01 07:52:04,595 - __main__ - INFO - 🚀 Starting Clinical Trial Dataset Creation Pipeline...
2025-09-01 07:52:04,595 - __main__ - INFO - 
==================================================
2025-09-01 07:52:04,595 - __main__ - INFO - STEP 1: COLLECTING CLINICAL TRIALS DATA
2025-09-01 07:52:04,595 - __main__ - INFO - ==================================================
2025-09-01 07:52:38,806 - src.data_collectors.clinicaltrials_gov - INFO - Collected 32 valid records, Total: 1209
2025-09-01 07:52:39,874 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 1246
2025-09-01 07:52:40,954 - src.data_collectors.clinicaltrials_gov - INFO - Collected 44 valid records, Total: 1290
2025-09-01 07:52:42,012 - src.data_collectors.clinicaltrials_gov - INFO - Collected 27 valid records, Total: 1317
2025-09-01 07:52:43,077 - src.data_collectors.clinicaltrials_gov - INFO - Collected 40 valid records, Total: 1357
2025-09-01 07:52:44,170 - src.data_collectors.clinicaltrials_gov - INFO - Collected 30 valid records, Total: 1387
2025-09-01 07:52:45,241 - src.data_collectors.clinicaltrials_gov - INFO - Collected 26 valid records, Total: 1413
2025-09-01 07:52:46,303 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 1450
2025-09-01 07:52:47,371 - src.data_collectors.clinicaltrials_gov - INFO - Collected 31 valid records, Total: 1481
2025-09-01 07:52:48,436 - src.data_collectors.clinicaltrials_gov - INFO - Collected 35 valid records, Total: 1516
2025-09-01 07:52:49,520 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 1553
2025-09-01 07:52:50,581 - src.data_collectors.clinicaltrials_gov - INFO - Collected 33 valid records, Total: 1586
2025-09-01 07:52:51,640 - src.data_collectors.clinicaltrials_gov - INFO - Collected 34 valid records, Total: 1620
2025-09-01 07:52:52,711 - src.data_collectors.clinicaltrials_gov - INFO - Collected 44 valid records, Total: 1664
2025-09-01 07:52:53,775 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 1701
2025-09-01 07:52:54,839 - src.data_collectors.clinicaltrials_gov - INFO - Collected 31 valid records, Total: 1732
2025-09-01 07:52:55,900 - src.data_collectors.clinicaltrials_gov - INFO - Collected 30 valid records, Total: 1762
2025-09-01 07:52:56,967 - src.data_collectors.clinicaltrials_gov - INFO - Collected 43 valid records, Total: 1805
2025-09-01 07:52:58,030 - src.data_collectors.clinicaltrials_gov - INFO - Collected 46 valid records, Total: 1851
2025-09-01 07:52:59,104 - src.data_collectors.clinicaltrials_gov - INFO - Collected 42 valid records, Total: 1893
2025-09-01 07:53:00,178 - src.data_collectors.clinicaltrials_gov - INFO - Collected 36 valid records, Total: 1929
2025-09-01 07:53:01,244 - src.data_collectors.clinicaltrials_gov - INFO - Collected 34 valid records, Total: 1963
2025-09-01 07:53:02,316 - src.data_collectors.clinicaltrials_gov - INFO - Collected 32 valid records, Total: 1995
2025-09-01 07:53:03,386 - src.data_collectors.clinicaltrials_gov - INFO - Collected 41 valid records, Total: 2036
2025-09-01 07:53:04,447 - src.data_collectors.clinicaltrials_gov - INFO - Collected 30 valid records, Total: 2066
2025-09-01 07:53:05,514 - src.data_collectors.clinicaltrials_gov - INFO - Collected 36 valid records, Total: 2102
2025-09-01 07:53:06,580 - src.data_collectors.clinicaltrials_gov - INFO - Collected 44 valid records, Total: 2146
2025-09-01 07:53:07,647 - src.data_collectors.clinicaltrials_gov - INFO - Collected 41 valid records, Total: 2187
2025-09-01 07:53:08,710 - src.data_collectors.clinicaltrials_gov - INFO - Collected 43 valid records, Total: 2230
2025-09-01 07:53:09,775 - src.data_collectors.clinicaltrials_gov - INFO - Collected 38 valid records, Total: 2268
2025-09-01 07:53:10,842 - src.data_collectors.clinicaltrials_gov - INFO - Collected 38 valid records, Total: 2306
2025-09-01 07:53:11,914 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 2343
2025-09-01 07:53:12,976 - src.data_collectors.clinicaltrials_gov - INFO - Collected 29 valid records, Total: 2372
2025-09-01 07:53:14,044 - src.data_collectors.clinicaltrials_gov - INFO - Collected 39 valid records, Total: 2411
2025-09-01 07:53:15,110 - src.data_collectors.clinicaltrials_gov - INFO - Collected 30 valid records, Total: 2441
2025-09-01 07:53:16,179 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 2478
2025-09-01 07:53:17,254 - src.data_collectors.clinicaltrials_gov - INFO - Collected 40 valid records, Total: 2518
2025-09-01 07:53:18,322 - src.data_collectors.clinicaltrials_gov - INFO - Collected 32 valid records, Total: 2550
2025-09-01 07:53:19,377 - src.data_collectors.clinicaltrials_gov - INFO - Collected 38 valid records, Total: 2588
2025-09-01 07:53:20,444 - src.data_collectors.clinicaltrials_gov - INFO - Collected 45 valid records, Total: 2633
2025-09-01 07:53:21,505 - src.data_collectors.clinicaltrials_gov - INFO - Collected 40 valid records, Total: 2673
2025-09-01 07:53:22,574 - src.data_collectors.clinicaltrials_gov - INFO - Collected 34 valid records, Total: 2707
2025-09-01 07:53:23,639 - src.data_collectors.clinicaltrials_gov - INFO - Collected 34 valid records, Total: 2741
2025-09-01 07:53:24,709 - src.data_collectors.clinicaltrials_gov - INFO - Collected 39 valid records, Total: 2780
2025-09-01 07:53:25,784 - src.data_collectors.clinicaltrials_gov - INFO - Collected 40 valid records, Total: 2820
2025-09-01 07:53:26,856 - src.data_collectors.clinicaltrials_gov - INFO - Collected 38 valid records, Total: 2858
2025-09-01 07:53:27,918 - src.data_collectors.clinicaltrials_gov - INFO - Collected 43 valid records, Total: 2901
2025-09-01 07:53:28,986 - src.data_collectors.clinicaltrials_gov - INFO - Collected 35 valid records, Total: 2936
2025-09-01 07:53:30,060 - src.data_collectors.clinicaltrials_gov - INFO - Collected 26 valid records, Total: 2962
2025-09-01 07:53:31,129 - src.data_collectors.clinicaltrials_gov - INFO - Collected 32 valid records, Total: 2994
2025-09-01 07:53:32,187 - src.data_collectors.clinicaltrials_gov - INFO - Collected 31 valid records, Total: 3025
2025-09-01 07:53:33,263 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 3062
2025-09-01 07:53:34,328 - src.data_collectors.clinicaltrials_gov - INFO - Collected 46 valid records, Total: 3108
2025-09-01 07:53:35,392 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 3145
2025-09-01 07:53:36,461 - src.data_collectors.clinicaltrials_gov - INFO - Collected 39 valid records, Total: 3184
2025-09-01 07:53:37,536 - src.data_collectors.clinicaltrials_gov - INFO - Collected 35 valid records, Total: 3219
2025-09-01 07:53:38,605 - src.data_collectors.clinicaltrials_gov - INFO - Collected 32 valid records, Total: 3251
2025-09-01 07:53:39,676 - src.data_collectors.clinicaltrials_gov - INFO - Collected 23 valid records, Total: 3274
2025-09-01 07:53:40,745 - src.data_collectors.clinicaltrials_gov - INFO - Collected 38 valid records, Total: 3312
2025-09-01 07:53:41,808 - src.data_collectors.clinicaltrials_gov - INFO - Collected 33 valid records, Total: 3345
2025-09-01 07:53:42,873 - src.data_collectors.clinicaltrials_gov - INFO - Collected 33 valid records, Total: 3378
2025-09-01 07:53:43,934 - src.data_collectors.clinicaltrials_gov - INFO - Collected 39 valid records, Total: 3417
2025-09-01 07:53:45,015 - src.data_collectors.clinicaltrials_gov - INFO - Collected 33 valid records, Total: 3450
2025-09-01 07:53:46,084 - src.data_collectors.clinicaltrials_gov - INFO - Collected 33 valid records, Total: 3483
2025-09-01 07:53:47,151 - src.data_collectors.clinicaltrials_gov - INFO - Collected 31 valid records, Total: 3514
2025-09-01 07:53:48,232 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 3551
2025-09-01 07:53:49,298 - src.data_collectors.clinicaltrials_gov - INFO - Collected 40 valid records, Total: 3591
2025-09-01 07:53:50,361 - src.data_collectors.clinicaltrials_gov - INFO - Collected 38 valid records, Total: 3629
2025-09-01 07:53:51,425 - src.data_collectors.clinicaltrials_gov - INFO - Collected 34 valid records, Total: 3663
2025-09-01 07:53:52,501 - src.data_collectors.clinicaltrials_gov - INFO - Collected 36 valid records, Total: 3699
2025-09-01 07:53:53,570 - src.data_collectors.clinicaltrials_gov - INFO - Collected 34 valid records, Total: 3733
2025-09-01 07:53:54,632 - src.data_collectors.clinicaltrials_gov - INFO - Collected 48 valid records, Total: 3781
2025-09-01 07:53:55,695 - src.data_collectors.clinicaltrials_gov - INFO - Collected 27 valid records, Total: 3808
2025-09-01 07:53:56,759 - src.data_collectors.clinicaltrials_gov - INFO - Collected 40 valid records, Total: 3848
2025-09-01 07:53:57,833 - src.data_collectors.clinicaltrials_gov - INFO - Collected 31 valid records, Total: 3879
2025-09-01 07:53:58,898 - src.data_collectors.clinicaltrials_gov - INFO - Collected 35 valid records, Total: 3914
2025-09-01 07:54:00,151 - src.data_collectors.clinicaltrials_gov - INFO - Collected 34 valid records, Total: 3948
2025-09-01 07:54:01,215 - src.data_collectors.clinicaltrials_gov - INFO - Collected 35 valid records, Total: 3983
2025-09-01 07:54:02,284 - src.data_collectors.clinicaltrials_gov - INFO - Collected 28 valid records, Total: 4011
2025-09-01 07:54:03,349 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 4048
2025-09-01 07:54:04,417 - src.data_collectors.clinicaltrials_gov - INFO - Collected 37 valid records, Total: 4085
2025-09-01 07:54:05,485 - src.data_collectors.clinicaltrials_gov - INFO - Collected 34 valid records, Total: 4119
2025-09-01 07:54:06,556 - src.data_collectors.clinicaltrials_gov - INFO - Collected 36 valid records, Total: 4155
2025-09-01 07:54:07,621 - src.data_collectors.clinicaltrials_gov - INFO - Collected 41 valid records, Total: 4196
2025-09-01 07:54:08,682 - src.data_collectors.clinicaltrials_gov - INFO - Collected 49 valid records, Total: 4245
2025-09-01 07:54:09,743 - src.data_collectors.clinicaltrials_gov - INFO - Collected 32 valid records, Total: 4277
