compound_id,primary_drug,all_drug_names,smiles,smiles_source,mapping_status,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,mol_num_rings,mol_num_heteroatoms,mol_fraction_csp3,max_clinical_phase,clinical_status,primary_condition,nct_id,trial_title,enrollment_count,start_date,completion_date,data_source,compound_type,study_type,primary_phase,overall_status,lead_sponsor,sponsor_class,collected_date,efficacy_score,safety_score,success_probability
TRIAL_00011,JNJ-56021927 60 Milligram,"['JNJ-56021927 60 Milligram', 'JNJ-56021927 120 Milligram', 'JNJ-56021927 240 Milligram']",O=C(Nc1cnccc1Cl)N1CCN(Cc2ccc3c(c2)OC(F)(F)O3)CC1,CHEMBL4297294,success,410.81,3.41,1.0,5.0,3.0,66.93,,28.0,0,,,,1,COMPLETED,,NCT02835508,Pharmacokinetic Study of JNJ-56021927 When Taken Orally as Tablet Formulation in Healthy Male Japanese Participants,18.0,2016-06,2016-12,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,COMPLETED,Janssen Pharmaceutical K.K.,INDUSTRY,2025-09-01T15:24:33.902685,0.8500000000000001,0.6749999999999999,0.3
TRIAL_00012,Lamotrigine ER tablet 50mg,['Lamotrigine ER tablet 50mg'],Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,CHEMBL741,success,256.10,2.01,2.0,5.0,1.0,90.71,,16.0,0,,,,1,COMPLETED,,NCT05145608,Comparative Bioavailability Study of Lamotrigine ER Tablets USP 50 mg,22.0,2018-01-10,2018-02-21,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,COMPLETED,Alembic Pharmaceuticals Ltd.,INDUSTRY,2025-09-01T15:24:33.902753,0.8500000000000001,0.6749999999999999,0.3
TRIAL_00013,GM103 (Part A),"['GM103 (Part A)', 'GM103 (Part B)', 'GM103 and Pembrolizumab (Part C)']",NC(=O)C1(NC(=O)CCCOc2ccc(Cl)cc2Cl)CCc2ccccc21,CHEMBL77802,success,407.30,3.60,2.0,3.0,7.0,81.42,,27.0,0,,,,1,RECRUITING,,NCT06265025,"GM103 Intratumoral Injection in Patients With Locally Advanced, Unresectable, Refractory and/or Metastatic Solid Tumors",125.0,2024-02-20,2028-10-30,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,RECRUITING,"GeneMedicine Co., Ltd.",INDUSTRY,2025-09-01T15:24:33.902824,0.55,0.6749999999999999,0.2
TRIAL_00014,Melatonin adminstration,"['Melatonin adminstration', 'placebo administration']",COc1ccc2[nH]cc(CCNC(C)=O)c2c1,CHEMBL45,success,232.28,1.86,2.0,2.0,4.0,54.12,,17.0,0,,,,,UNKNOWN,,NCT03117725,Melatonin Study Between Diminished and Normal Responder in IVF,100.0,2017-05-12,2019-10-31,clinical_trial_chembl,Small molecule,INTERVENTIONAL,,UNKNOWN,Bundang CHA Hospital,OTHER,2025-09-01T15:24:33.902875,0.5,0.6,0.2
TRIAL_00015,AUY922,['AUY922'],CCNC(=O)c1coc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,CHEMBL5278498,success,464.56,4.73,3.0,6.0,7.0,95.17,,34.0,0,,,,1,COMPLETED,,NCT01132625,Dose Escalation Study of AUY922 in Advanced Solid Malignancies in Japan,37.0,2008-11,2012-05,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,COMPLETED,Novartis Pharmaceuticals,INDUSTRY,2025-09-01T15:24:33.902964,0.8500000000000001,0.6749999999999999,0.3
TRIAL_00016,Doravirine,"['Doravirine', 'Descovy']",Cn1c(Cn2ccc(C(F)(F)F)c(Oc3cc(Cl)cc(C#N)c3)c2=O)n[nH]c1=O,CHEMBL2364608,success,425.75,2.65,1.0,7.0,4.0,105.70,,29.0,0,,,,2,COMPLETED,,NCT04097925,Doravirine Concentrations and Antiviral Activity in Genital Fluids in HIV-1 Infected Individuals,30.0,2020-02-18,2020-08-24,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE2,COMPLETED,"Fundación FLS de Lucha Contra el Sida, las Enfermedades Infecciosas y la Promoción de la Salud y la Ciencia",OTHER,2025-09-01T15:24:33.903016,0.9,0.75,0.5
TRIAL_00017,Pioglitazone,"['Pioglitazone', 'placebo comparator']",CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,CHEMBL595,success,356.45,3.16,1.0,5.0,7.0,68.29,,25.0,0,,,,4,COMPLETED,,NCT00745225,Peroxisome Proliferator-Activated Receptor-Gamma Activation in Peritoneal Dialysis Patients,160.0,2006-02,2014-12,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE4,COMPLETED,The University of Hong Kong,OTHER,2025-09-01T15:24:33.903067,1.0,0.8999999999999999,0.9
TRIAL_00018,Ketaconazole,"['Ketaconazole', 'Docetaxel']",CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL157101,success,531.44,4.21,0.0,7.0,7.0,69.06,,36.0,0,,,,1,COMPLETED,,NCT00032825,Ketoconazole Plus Docetaxel to Treat Prostate Cancer,674.0,2002-03-19,2011-06-13,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,COMPLETED,National Cancer Institute (NCI),NIH,2025-09-01T15:24:33.903117,0.8500000000000001,0.6749999999999999,0.3
TRIAL_00019,Faldaprevir,"['Faldaprevir', 'Faldaprevir', 'Cyclosporine', 'Tacrolimus']",C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3csc(NC(=O)C(C)C)n3)nc3c(Br)c(OC)ccc23)CN1C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)[O-].[Na+],CHEMBL3544915,success,891.82,6.30,4.0,11.0,13.0,198.38,,57.0,0,,,,1,COMPLETED,,NCT02016625,Investigation of Potential Drug-drug Interactions Between Faldaprevir and the Immunosuppressant Drugs Cyclosporine or Tacrolimus,32.0,2013-12,2014-04,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,COMPLETED,Boehringer Ingelheim,INDUSTRY,2025-09-01T15:24:33.903170,0.8500000000000001,0.6749999999999999,0.3
TRIAL_00020,Iodixanol(Drug),['Iodixanol(Drug)'],CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,CHEMBL1200507,success,1550.19,,,,,,,,0,,,,4,COMPLETED,,NCT00247325,RECOVER:Comparison of Renal Toxicity Between Visipaque(Iodixanol)and Hexabrix(Ioxaglate)in Renal Insufficiency Undergoing Coronary Angiography,0.0,2004-01,2004-12,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE4,COMPLETED,Seoul National University Hospital,OTHER,2025-09-01T15:24:33.903241,1.0,0.8999999999999999,0.9
TRIAL_00021,clevidipine,"['clevidipine', 'nicardipine']",CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CHEMBL1237132,success,456.32,4.25,1.0,7.0,7.0,90.93,,30.0,0,,,,3,COMPLETED,,NCT00093925,Clevidipine in the Postoperative Treatment of Hypertension (ECLIPSE-NIC),739.0,2004-05,2006-09,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE3,COMPLETED,The Medicines Company,INDUSTRY,2025-09-01T15:24:33.903332,0.9500000000000001,0.825,0.7
TRIAL_00022,Tirofiban (Aggrastat),"['Tirofiban (Aggrastat)', 'Placebo']",CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,CHEMBL916,success,440.61,2.95,3.0,5.0,14.0,104.73,,30.0,0,,,,3,WITHDRAWN,,NCT01245725,Aggrastat Truncated Length Against Standard Therapies in Percutaneous Coronary Intervention,0.0,,,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE3,WITHDRAWN,Medicure,INDUSTRY,2025-09-01T15:24:33.903385,0.65,0.825,0.2
TRIAL_00023,Pred-Gati-Brom,"['Pred-Gati-Brom', 'Prednisolone acetate 1% ophthalmic suspension', 'Gatifloxacin Ophthalmic', 'Bromfenac 0.075% Oph Solution']",CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CHEMBL1152,success,402.49,2.13,2.0,6.0,3.0,100.90,,29.0,0,,,,4,COMPLETED,,NCT03578276,Prophylactic Treatment: Lessdrops™ vs Standard Drops Regimen,35.0,2018-06-22,2019-12-04,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE4,COMPLETED,"Carolina Eyecare Physicians, LLC",OTHER,2025-09-01T15:24:33.903469,1.0,0.8999999999999999,0.9
TRIAL_00024,Gabapentin immediate release,"['Gabapentin immediate release', 'Gabapentin enacarbil extended release']",CC(OC(=O)NCC1(CC(=O)O)CCCCC1)OC(=O)C(C)C,CHEMBL1628502,success,329.39,2.68,2.0,5.0,7.0,101.93,,23.0,0,,,,4,TERMINATED,,NCT02117076,"Blinded, Randomized Study of Gabapentin (Neurontin®) and Gabapentin Enacarbil (Horizant™) in Restless Leg Syndrome",5.0,2014-04,2016-06,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE4,TERMINATED,"Theresa Zesiewicz, MD",OTHER,2025-09-01T15:24:33.903521,0.7,0.8999999999999999,0.2
TRIAL_00025,Sulphadoxine-pyrimethamine and Amodiaquine,['Sulphadoxine-pyrimethamine and Amodiaquine'],CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1.COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,CHEMBL3137690,success,559.05,,,,,,,,0,,,,,NOT_YET_RECRUITING,,NCT06182176,Effectiveness and Cost-effectiveness of Integrated Model for Malaria and Helminth Control,1200.0,2024-05-27,2026-01-12,clinical_trial_chembl,Small molecule,INTERVENTIONAL,,NOT_YET_RECRUITING,London School of Hygiene and Tropical Medicine,OTHER,2025-09-01T15:24:33.903570,0.5,0.6,0.2
TRIAL_00026,Ramipril,['Ramipril'],CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,CHEMBL1168,success,416.52,2.38,2.0,5.0,9.0,95.94,,30.0,0,,,,2,COMPLETED,,NCT03979976,"Ramipril, Endothelial Function and Endothelial Progenitor Cells in Patients With Systemic Lupus Erythematosus",37.0,2011-03,2013-09,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE2,COMPLETED,Federal University of São Paulo,OTHER,2025-09-01T15:24:33.903621,0.9,0.75,0.5
TRIAL_00027,dapivirine (TMC120) vaginal gel,['dapivirine (TMC120) vaginal gel'],Cc1cc(C)c(Nc2ccnc(Nc3ccc(C#N)cc3)n2)c(C)c1,CHEMBL70663,success,329.41,4.76,2.0,5.0,4.0,73.63,,25.0,0,,,,1,COMPLETED,,NCT00303576,A Safety and Tolerability Study of Dapivirine (TMC120) Vaginal Microbicide Gel,112.0,2005-10,2006-07,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,COMPLETED,"International Partnership for Microbicides, Inc.",INDUSTRY,2025-09-01T15:24:33.903672,0.8500000000000001,0.6749999999999999,0.3
TRIAL_00028,Propranolol and fat biopsy,['Propranolol and fat biopsy'],CC(C)NCC(O)COc1cccc2ccccc12.Cl,CHEMBL1671,success,295.81,2.58,2.0,3.0,6.0,41.49,,19.0,0,,,,1,COMPLETED,,NCT02596776,Cold Induced Changes in White Adipose,26.0,2016-03,2018-08-20,clinical_trial_chembl,Small molecule,INTERVENTIONAL,EARLY_PHASE1,COMPLETED,Philip Kern,OTHER,2025-09-01T15:24:33.906851,0.8500000000000001,0.6749999999999999,0.3
TRIAL_00029,aspirin,"['aspirin', 'clopidogrel']",CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,success,180.16,1.31,1.0,3.0,2.0,63.60,,13.0,0,,,,4,COMPLETED,,NCT00343876,Clopidogrel and Aspirin Together: The Effect on C-Reactive Protein Trial,100.0,2005-07,2006-11,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE4,COMPLETED,"Intermountain Health Care, Inc.",OTHER,2025-09-01T15:24:33.907056,1.0,0.8999999999999999,0.9
TRIAL_00030,Telotristat Ethyl,['Telotristat Ethyl'],CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(O[C@H](c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1,CHEMBL2105695,success,574.99,4.99,2.0,9.0,9.0,131.17,,40.0,0,,,,2,WITHDRAWN,,NCT04776876,Retifanlimab (INCMGA00012) and Telotristat Ethyl for the Treatment of Advanced Neuroendocrine Tumors and Carcinoid Syndrome,0.0,2021-03-01,2021-09-02,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE2,WITHDRAWN,M.D. Anderson Cancer Center,OTHER,2025-09-01T15:24:33.907122,0.6,0.75,0.2
CHEMBL_CHEMBL2,PRAZOSIN,['PRAZOSIN'],COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CHEMBL2,success,383.41,1.78,1.0,8.0,4.0,106.95,3.0,28.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469374,,,1.0
CHEMBL_CHEMBL3,NICOTINE,['NICOTINE'],CN1CCC[C@H]1c1cccnc1,CHEMBL3,success,162.24,1.85,0.0,2.0,1.0,16.13,1.0,12.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469393,,,1.0
CHEMBL_CHEMBL4,OFLOXACIN,['OFLOXACIN'],CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL4,success,361.37,1.54,1.0,6.0,2.0,75.01,2.0,26.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469401,,,1.0
CHEMBL_CHEMBL5,NALIDIXIC ACID,['NALIDIXIC ACID'],CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CHEMBL5,success,232.24,1.42,1.0,4.0,2.0,72.19,2.0,17.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469404,,,1.0
CHEMBL_CHEMBL6,INDOMETHACIN,['INDOMETHACIN'],COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,success,357.79,3.93,1.0,4.0,4.0,68.53,3.0,25.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469408,,,1.0
CHEMBL_CHEMBL403,SULBACTAM,['SULBACTAM'],CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL403,success,233.24,-0.79,1.0,4.0,1.0,91.75,0.0,15.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469411,,,1.0
CHEMBL_CHEMBL404,TAZOBACTAM,['TAZOBACTAM'],C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL404,success,300.30,-1.52,1.0,7.0,3.0,122.46,1.0,20.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469414,,,1.0
CHEMBL_CHEMBL8,CIPROFLOXACIN,['CIPROFLOXACIN'],O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CHEMBL8,success,331.35,1.58,2.0,5.0,3.0,74.57,2.0,24.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469417,,,1.0
CHEMBL_CHEMBL9,NORFLOXACIN,['NORFLOXACIN'],CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CHEMBL9,success,319.34,1.27,2.0,5.0,3.0,74.57,2.0,23.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469429,,,1.0
CHEMBL_CHEMBL405,AMPHETAMINE,['AMPHETAMINE'],CC(N)Cc1ccccc1,CHEMBL405,success,135.21,1.58,1.0,1.0,2.0,26.02,1.0,10.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469432,,,1.0
CHEMBL_CHEMBL6622,ISOSORBIDE DINITRATE,['ISOSORBIDE DINITRATE'],O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],CHEMBL6622,success,236.14,-1.06,0.0,8.0,4.0,123.20,0.0,16.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469436,,,1.0
CHEMBL_CHEMBL6437,MIANSERIN,['MIANSERIN'],CN1CCN2c3ccccc3Cc3ccccc3C2C1,CHEMBL6437,success,264.37,3.08,0.0,2.0,0.0,6.48,2.0,20.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469439,,,1.0
CHEMBL_CHEMBL11,IMIPRAMINE,['IMIPRAMINE'],CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11,success,280.42,3.88,0.0,2.0,4.0,6.48,2.0,21.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469442,,,1.0
CHEMBL_CHEMBL406,INDAPAMIDE,['INDAPAMIDE'],CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL406,success,365.84,2.08,2.0,4.0,3.0,92.50,2.0,24.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469446,,,1.0
CHEMBL_CHEMBL407,FLUMAZENIL,['FLUMAZENIL'],CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CHEMBL407,success,303.29,1.77,0.0,5.0,2.0,64.43,2.0,22.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469450,,,1.0
CHEMBL_CHEMBL408,TROGLITAZONE,['TROGLITAZONE'],Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,CHEMBL408,success,441.55,4.37,2.0,6.0,5.0,84.86,2.0,31.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469453,,,1.0
CHEMBL_CHEMBL409,BICALUTAMIDE,['BICALUTAMIDE'],CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409,success,430.38,2.88,2.0,5.0,5.0,107.26,2.0,29.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469455,,,1.0
CHEMBL_CHEMBL12,DIAZEPAM,['DIAZEPAM'],CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CHEMBL12,success,284.75,3.15,0.0,2.0,1.0,32.67,2.0,20.0,0,,,,4.0,Approved,Multiple,,,,,,chembl_api,Small molecule,APPROVED_DRUG,PHASE4,APPROVED,ChEMBL_Database,DATABASE,2025-09-01T15:24:38.469458,,,1.0
