chembl_id,canonical_smiles,primary_drug,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,mol_num_rings,mol_num_heteroatoms,mol_fraction_csp3,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,tox_data_sources
CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],ISOSORBIDE DINITRATE,236.14,-1.06,0.0,8.0,4.0,123.2,0.0,16.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL6622,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],ISOSORBIDE DINITRATE,236.14,-1.06,0.0,8.0,4.0,123.2,0.0,16.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL6437,CN1CCN2c3ccccc3Cc3ccccc3C2C1,MIANSERIN,264.37,3.08,0.0,2.0,0.0,6.48,2.0,20.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,IMIPRAMINE,280.42,3.88,0.0,2.0,4.0,6.48,2.0,21.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL11,CN(C)CCCN1c2ccccc2CCc2ccccc21,IMIPRAMINE,280.42,3.88,0.0,2.0,4.0,6.48,2.0,21.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL406,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,INDAPAMIDE,365.84,2.08,2.0,4.0,3.0,92.5,2.0,24.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,FLUMAZENIL,303.29,1.77,0.0,5.0,2.0,64.43,2.0,22.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,TROGLITAZONE,441.55,4.37,2.0,6.0,5.0,84.86,2.0,31.0,0,,,,,medium,,,,high,,medium,medium,,[]
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,BICALUTAMIDE,430.38,2.88,2.0,5.0,5.0,107.26,2.0,29.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,DIAZEPAM,284.75,3.15,0.0,2.0,1.0,32.67,2.0,20.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1,METOPROLOL,267.37,1.61,2.0,4.0,9.0,50.72,1.0,19.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1,METOPROLOL,267.37,1.61,2.0,4.0,9.0,50.72,1.0,19.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,DIETHYLSTILBESTROL,268.36,4.83,2.0,2.0,4.0,40.46,2.0,20.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL267936,CNC1(C)C2CCC(C2)C1(C)C,MECAMYLAMINE,167.3,2.42,1.0,1.0,1.0,12.03,0.0,12.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL14,C[N+](C)(C)CCOC(N)=O.[Cl-],CARBACHOL,182.65,-0.21,1.0,2.0,3.0,52.32,0.0,10.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,PHENYTOIN,252.27,1.77,2.0,2.0,2.0,58.2,2.0,19.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL413,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,SIROLIMUS,914.19,6.18,3.0,13.0,6.0,195.43,0.0,65.0,0,,,,,medium,,,,high,,low,medium,,[]
CHEMBL413,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,SIROLIMUS,914.19,6.18,3.0,13.0,6.0,195.43,0.0,65.0,0,,,,,medium,,,,high,,low,medium,,[]
CHEMBL269732,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,TACROLIMUS ANHYDROUS,804.03,4.64,3.0,12.0,7.0,178.36,0.0,57.0,0,,,,,medium,,,,high,,low,medium,,[]
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CLOMIPRAMINE,314.86,4.53,0.0,2.0,4.0,6.48,2.0,22.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,METHOXSALEN,216.19,2.55,0.0,4.0,1.0,52.58,3.0,16.0,0,,,,,medium,,,,low,,medium,low,,[]
CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,METHOXSALEN,216.19,2.55,0.0,4.0,1.0,52.58,3.0,16.0,0,,,,,medium,,,,low,,medium,low,,[]
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,DICHLORPHENAMIDE,305.16,0.29,2.0,4.0,2.0,120.32,1.0,16.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,DICHLORPHENAMIDE,305.16,0.29,2.0,4.0,2.0,120.32,1.0,16.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,ETHOXZOLAMIDE,258.32,1.34,1.0,5.0,3.0,82.28,2.0,16.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,ETHOXZOLAMIDE,258.32,1.34,1.0,5.0,3.0,82.28,2.0,16.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,EPIRUBICIN,543.53,0.0,6.0,12.0,5.0,206.07,2.0,39.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,EPIRUBICIN,543.53,0.0,6.0,12.0,5.0,206.07,2.0,39.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,METHAZOLAMIDE,236.28,-1.42,1.0,6.0,1.0,107.41,1.0,14.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,ACETAZOLAMIDE,222.25,-0.86,2.0,6.0,2.0,115.04,1.0,13.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL419,NCc1ccc(S(N)(=O)=O)cc1,MAFENIDE,186.24,-0.21,2.0,3.0,2.0,86.18,1.0,12.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL21,Nc1ccc(S(N)(=O)=O)cc1,SULFANILAMIDE,172.21,-0.08,2.0,3.0,1.0,86.18,1.0,11.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL420,N=C(N)N/N=C/c1c(Cl)cccc1Cl,GUANABENZ,231.09,1.81,3.0,2.0,2.0,74.26,1.0,14.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,TRIMETHOPRIM,290.32,1.26,2.0,7.0,5.0,105.51,2.0,21.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,VERAPAMIL,454.61,5.09,0.0,6.0,13.0,63.95,2.0,33.0,0,,,,,medium,,,,high,,medium,medium,,[]
CHEMBL421,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,SULFASALAZINE,398.4,3.7,3.0,7.0,6.0,141.31,3.0,28.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL6466,O=c1ccc2ccccc2o1,COUMARIN,146.14,1.79,0.0,2.0,0.0,30.21,2.0,11.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL23,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,DILTIAZEM,414.53,3.37,0.0,6.0,6.0,59.08,2.0,29.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,ATENOLOL,266.34,0.45,3.0,4.0,8.0,84.58,1.0,19.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,ASPIRIN,180.16,1.31,1.0,3.0,2.0,63.6,1.0,13.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,ASPIRIN,180.16,1.31,1.0,3.0,2.0,63.6,1.0,13.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL422,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,TRIFLUOPERAZINE,407.51,4.95,0.0,4.0,4.0,9.72,2.0,28.0,0,,,,,medium,,,,high,,medium,medium,,[]
CHEMBL26,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,SULPIRIDE,341.43,0.56,2.0,5.0,6.0,101.73,1.0,23.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL423,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,BETAXOLOL,307.43,2.39,2.0,4.0,11.0,50.72,1.0,22.0,0,,,,,medium,,,,medium,,low,low,,[]
CHEMBL424,O=C(O)c1ccccc1O,SALICYLIC ACID,138.12,1.09,2.0,2.0,1.0,57.53,1.0,10.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL425,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,OLSALAZINE,302.24,2.91,4.0,6.0,4.0,139.78,2.0,22.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,PROPRANOLOL,259.35,2.58,2.0,3.0,6.0,41.49,2.0,19.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,PROPRANOLOL,259.35,2.58,2.0,3.0,6.0,41.49,2.0,19.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,PROPRANOLOL,259.35,2.58,2.0,3.0,6.0,41.49,2.0,19.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,PROPRANOLOL,259.35,2.58,2.0,3.0,6.0,41.49,2.0,19.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL6995,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,PRACTOLOL,266.34,1.38,3.0,4.0,7.0,70.59,1.0,19.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL6995,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,PRACTOLOL,266.34,1.38,3.0,4.0,7.0,70.59,1.0,19.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL427,CN(CCCl)CCCl,MECHLORETHAMINE,156.06,1.4,0.0,1.0,4.0,3.24,0.0,8.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL427,CN(CCCl)CCCl,MECHLORETHAMINE,156.06,1.4,0.0,1.0,4.0,3.24,0.0,8.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,BENZYLPENICILLIN,334.4,0.86,2.0,4.0,4.0,86.71,1.0,23.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL428,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,TROVAFLOXACIN,416.36,1.89,2.0,6.0,3.0,101.45,3.0,30.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL30,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,CIMETIDINE,252.35,0.6,3.0,4.0,5.0,88.89,1.0,17.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,GATIFLOXACIN,375.4,1.98,2.0,6.0,4.0,83.8,2.0,27.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL429,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,LABETALOL,328.41,2.14,4.0,4.0,8.0,95.58,2.0,24.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MOXIFLOXACIN,401.44,2.37,2.0,6.0,4.0,83.8,2.0,29.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,LEVOFLOXACIN ANHYDROUS,361.37,1.54,1.0,6.0,2.0,75.01,2.0,26.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL430,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,GEMIFLOXACIN,389.39,0.97,2.0,8.0,5.0,123.04,2.0,28.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL431,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2,SPIRAPRIL,466.63,2.39,2.0,7.0,9.0,95.94,1.0,31.0,0,,,,,medium,,,,medium,,low,low,,[]
CHEMBL433,CCCC(CCC)C(=O)[O-].[Na+],VALPROATE SODIUM,166.2,2.29,1.0,1.0,5.0,37.3,0.0,10.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL433,CCCC(CCC)C(=O)[O-].[Na+],VALPROATE SODIUM,166.2,2.29,1.0,1.0,5.0,37.3,0.0,10.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,ISOPROTERENOL,211.26,1.13,4.0,4.0,4.0,72.72,1.0,15.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,ISOPROTERENOL,211.26,1.13,4.0,4.0,4.0,72.72,1.0,15.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL435,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,HYDROCHLOROTHIAZIDE,297.75,-0.35,3.0,5.0,1.0,118.36,1.0,17.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL435,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,HYDROCHLOROTHIAZIDE,297.75,-0.35,3.0,5.0,1.0,118.36,1.0,17.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,FUROSEMIDE,330.75,1.89,3.0,5.0,5.0,122.63,2.0,21.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,FUROSEMIDE,330.75,1.89,3.0,5.0,5.0,122.63,2.0,21.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,PYRIMETHAMINE,248.72,2.52,2.0,4.0,2.0,77.82,2.0,17.0,0,,,,,medium,,,,low,,medium,low,,[]
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,PYRIMETHAMINE,248.72,2.52,2.0,4.0,2.0,77.82,2.0,17.0,0,,,,,medium,,,,low,,medium,low,,[]
CHEMBL436,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,TOLRESTAT,357.35,3.56,1.0,3.0,4.0,49.77,2.0,24.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL436,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,TOLRESTAT,357.35,3.56,1.0,3.0,4.0,49.77,2.0,24.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL437,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,SULFATHIAZOLE,255.32,1.53,2.0,5.0,3.0,85.08,2.0,16.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL438,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,SULFAMERAZINE,264.31,1.17,2.0,5.0,3.0,97.97,2.0,18.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,SULFADIAZINE,250.28,0.86,2.0,5.0,3.0,97.97,2.0,17.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL440,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,THIAMYLAL,254.35,1.52,2.0,3.0,5.0,58.2,0.0,17.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL441,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,THIOPENTAL,242.34,1.35,2.0,3.0,4.0,58.2,0.0,16.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL268164,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CYCLOBARBITAL,236.27,1.25,2.0,3.0,2.0,75.27,0.0,17.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL442,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,ERGOTAMINE,581.67,1.99,3.0,6.0,4.0,118.21,3.0,43.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,TRETINOIN,300.44,5.6,1.0,1.0,5.0,37.3,0.0,22.0,0,,,,,medium,,,,medium,,low,medium,,[]
CHEMBL7413,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,METHOHEXITAL,262.31,1.31,1.0,3.0,3.0,66.48,0.0,19.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,PHENOBARBITAL,232.24,0.7,2.0,3.0,2.0,75.27,1.0,17.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,FLUOXETINE,309.33,4.44,1.0,2.0,6.0,21.26,2.0,22.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,FLUOXETINE,309.33,4.44,1.0,2.0,6.0,21.26,2.0,22.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,SULFAMETHOXAZOLE,253.28,1.37,2.0,5.0,3.0,98.22,2.0,17.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL444,CCC1(CC)C(=O)NC(=O)NC1=O,BARBITAL,184.19,0.16,2.0,3.0,2.0,75.27,0.0,13.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CLOZAPINE,326.83,3.72,1.0,4.0,0.0,30.87,2.0,23.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL445,CNCCC=C1c2ccccc2CCc2ccccc21,NORTRIPTYLINE,263.38,3.83,1.0,1.0,3.0,12.03,2.0,20.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL446,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,SULFAMETHAZINE,278.34,1.48,2.0,5.0,3.0,97.97,2.0,19.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL447,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,SECOBARBITAL,238.29,1.35,2.0,3.0,5.0,75.27,0.0,17.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL448,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,PENTOBARBITAL,226.28,1.18,2.0,3.0,4.0,75.27,0.0,16.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL267894,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,AMOBARBITAL,226.28,1.18,2.0,3.0,4.0,75.27,0.0,16.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,BUTABARBITAL,212.25,0.79,2.0,3.0,3.0,75.27,0.0,15.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O,METHARBITAL,198.22,0.5,1.0,3.0,2.0,66.48,0.0,14.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL451,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,CHLORDIAZEPOXIDE,299.76,2.95,1.0,3.0,1.0,50.46,2.0,21.0,0,,,,,medium,,,,medium,,medium,low,,[]
CHEMBL266349,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,MELAGATRAN,429.52,0.81,5.0,5.0,9.0,148.61,1.0,31.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,CLONAZEPAM,315.72,3.04,1.0,4.0,2.0,84.6,2.0,22.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL453,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,SULFISOXAZOLE,267.31,1.67,2.0,5.0,3.0,98.22,2.0,18.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL268869,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,SULFAMETHOXYPYRIDAZINE,280.31,0.87,2.0,6.0,4.0,107.2,2.0,19.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL454,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,BUTALBITAL,224.26,0.96,2.0,3.0,4.0,75.27,0.0,16.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1,SULFACETAMIDE,214.25,0.09,2.0,4.0,2.0,89.26,1.0,14.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL43,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,AMSACRINE,393.47,4.51,2.0,5.0,5.0,80.32,4.0,28.0,0,,,,,medium,,,,medium,,high,medium,,[]
CHEMBL43,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,AMSACRINE,393.47,4.51,2.0,5.0,5.0,80.32,4.0,28.0,0,,,,,medium,,,,medium,,high,medium,,[]
CHEMBL456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,ETHACRYNIC ACID,303.14,3.61,1.0,3.0,6.0,63.6,1.0,19.0,0,,,,,medium,,,,medium,,low,medium,,[]
