canonical_smiles,primary_drug,approved,approval_status,max_clinical_phase
CC1(C)Cc2cc(C(=O)c3ccccc3)ccc2OC1=O,ChEMBL_CHEMBL10094,0,Preclinical,0.0
O=C1CCc2cc(C(=O)c3ccccc3)ccc2O1,ChEMBL_CHEMBL10095,0,Preclinical,0.0
CC(C)Oc1ccccc1N1CCN(Cc2ccccc2CN2CCCCC2=O)CC1,ChEMBL_CHEMBL10105,0,Preclinical,0.0
C[C@@]1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,FAMOXADONE,0,Preclinical,0.0
CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(Br)ccc23)cc1,ChEMBL_CHEMBL10123,0,Preclinical,0.0
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,VATALANIB,1,Phase III,3.0
CC1CCCC(C)C1OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccccc1,ChEMBL_CHEMBL10129,0,Preclinical,0.0
CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,AVASIMIBE,0,Phase II,2.0
CC(C)(C)C(=O)Oc1ccc(Oc2ccc(OC(=O)C(C)(C)C)cc2)cc1,ChEMBL_CHEMBL10157,0,Preclinical,0.0
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CANDESARTAN,1,Phase III,3.0
CC[C@@H](NC(=O)c1c(CN(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,ChEMBL_CHEMBL10162,0,Preclinical,0.0
O=P(O)(O)CN[C@@H](Cc1ccccc1)c1nnn[nH]1,ChEMBL_CHEMBL10164,0,Preclinical,0.0
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1/C=C/Br,ChEMBL_CHEMBL10165,0,Preclinical,0.0
O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10166,0,Preclinical,0.0
CC(C)C(=O)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10167,0,Preclinical,0.0
CCCCC[C@H](O)/C=C/[C@H]1C2CC(c3ccc(F)cc3)(CO2)[C@@H]1C/C=C/CCCC(=O)O,ChEMBL_CHEMBL10179,0,Preclinical,0.0
Cc1ccc(C#Cc2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)cc2)cc1,ChEMBL_CHEMBL10180,0,Preclinical,0.0
CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,TALNETANT,0,Phase II,2.0
CCN(c1nc(C)cc(-c2ccccc2-c2ccccc2)n1)c1ccc(C(C)C)cc1Br,ChEMBL_CHEMBL10189,0,Preclinical,0.0
COCC#CCC(NS(=O)(=O)c1ccc(NC(=O)N2CCOCC2)cc1)C(=O)O,ChEMBL_CHEMBL10193,0,Preclinical,0.0
CCCN(CCC)c1cc(C)nc(N(CC)c2ccc(C(C)C)cc2Br)n1,ChEMBL_CHEMBL10203,0,Preclinical,0.0
CC[C@@H](NC(=O)c1c(N)c(-c2ccccc2)nc2ccccc12)c1ccccc1,ChEMBL_CHEMBL10224,0,Preclinical,0.0
O=C(/C=C/c1ccccc1)NCCO,IDROCILAMIDE,0,Phase II,2.0
CCN(c1nc(C)cc(-c2ccccc2Br)n1)c1ccc(C(C)C)cc1Br,ChEMBL_CHEMBL10237,0,Preclinical,0.0
CCCC(C)(C)C(=O)Oc1ccc(C(=O)c2ccc(OC(=O)C(C)(C)CCC)cc2)cc1,ChEMBL_CHEMBL10239,0,Preclinical,0.0
COc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1,ChEMBL_CHEMBL10241,0,Preclinical,0.0
c1cc(NC2=NCCN2)ccc1Cc1ccc(OCC2CCOCC2)cc1,ChEMBL_CHEMBL10242,0,Preclinical,0.0
Cc1ccc2c(=O)oc(Nc3ccccc3I)nc2c1,ChEMBL_CHEMBL10248,0,Preclinical,0.0
COc1ccc(C#Cc2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)cc2)cc1,ChEMBL_CHEMBL10257,0,Preclinical,0.0
CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,ChEMBL_CHEMBL10258,0,Preclinical,0.0
CCC[C@H]1OC(=O)O[C@]1(Cn1cncn1)c1ccc(Cl)cc1,ChEMBL_CHEMBL10259,0,Preclinical,0.0
C=CCN1CCC2c3c(cccc3OC)CC[C@H]21,ChEMBL_CHEMBL10270,0,Preclinical,0.0
OC(c1ccc(Cl)cc1Cl)C(O)(Cn1ccnc1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10287,0,Preclinical,0.0
Cc1ccc([C@H]2OC(=O)O[C@]2(Cn2cncn2)c2ccc(C)cc2)cc1,ChEMBL_CHEMBL10297,0,Preclinical,0.0
Cc1ncc(CO)c(C=O)c1O,PYRIDOXAL,1,Phase III,3.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,PROGESTERONE,1,Approved,4.0
CCCCCCCN(CCCCCSc1nc(-c2ccc(OC)cc2)c(-c2ccc(OC)cc2)[nH]1)C(=O)Nc1ccc(F)cc1F,ChEMBL_CHEMBL10307,0,Preclinical,0.0
CCCC(=O)C(O)(Cn1cncn1)c1ccc(Cl)cc1,ChEMBL_CHEMBL10313,0,Preclinical,0.0
CN(CCc1ccc2c(c1)OCO2)C[C@@H]1CC[C@H]2CCOc3cccc1c32,ChEMBL_CHEMBL10317,0,Preclinical,0.0
CCN(CC)CCC(=O)Nc1c(C)cccc1C,ChEMBL_CHEMBL10321,0,Preclinical,0.0
CC(O)(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10324,0,Preclinical,0.0
O=C(c1ccccn1)C(O)(Cn1cncn1)c1ccccn1,ChEMBL_CHEMBL10326,0,Preclinical,0.0
CC(C)Oc1ccccc1N1CCN(Cc2ccccc2C(=O)N2CCCCC2)CC1,ChEMBL_CHEMBL10327,0,Preclinical,0.0
O=C1CCC(c2ccccc2)(C2CCN(Cc3ccccc3F)CC2)C(=O)N1,ChEMBL_CHEMBL10331,0,Preclinical,0.0
COC1(C2=NCCN2)COc2ccccc2O1,ChEMBL_CHEMBL10332,0,Preclinical,0.0
CCCCCCCC(NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,ChEMBL_CHEMBL10333,0,Preclinical,0.0
CC(C)(C)C(=O)Oc1ccc(Cc2ccc(OC(=O)C(C)(C)C)cc2)cc1,ChEMBL_CHEMBL10342,0,Preclinical,0.0
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(CCNS(C)(=O)=O)c(=O)nc1SCc1ccc(F)cc1,ChEMBL_CHEMBL10352,0,Preclinical,0.0
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,DORAMAPIMOD,0,Phase II,2.0
CCCC1(CCC)CCC2(CCN(CCCN(CC)CC)C2)CC1,ATIPRIMOD,0,Phase II,2.0
O=c1oc(-c2ccccc2I)nc2ccccc12,ChEMBL_CHEMBL10378,0,Preclinical,0.0
O=c1oc(Nc2ccccc2I)nc2cc(C3CCCCC3)ccc12,ChEMBL_CHEMBL10380,0,Preclinical,0.0
O=C(O)c1c(O)c(Cl)cc(Cl)c1Cl,ChEMBL_CHEMBL10381,0,Preclinical,0.0
O=P(O)(O)CN[C@@H](CCc1ccccc1)c1nnn[nH]1,ChEMBL_CHEMBL10384,0,Preclinical,0.0
O=C(c1ccc(F)cc1)C(O)(Cn1ccnc1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10389,0,Preclinical,0.0
CC(C)C(=O)C(O)(Cn1ccnc1)c1ccc(Cl)cc1,ChEMBL_CHEMBL10390,0,Preclinical,0.0
CC(C)c1ccc2c(=O)oc(Nc3ccccc3I)nc2c1,ChEMBL_CHEMBL10392,0,Preclinical,0.0
O=C1O[C@H](c2ccc(Cl)cc2)[C@](Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,ChEMBL_CHEMBL10394,0,Preclinical,0.0
O=C(c1ccc(Cl)cc1Cl)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10401,0,Preclinical,0.0
C=CCN1CCC2c3cccc(O)c3CC[C@H]21,ChEMBL_CHEMBL10408,0,Preclinical,0.0
CCCCCC1(CCCCC)Cc2c(cc(C(C)(C)C)c(O)c2C(C)(C)C)O1,BO-653,0,Phase II,2.0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CC#N)c(O)ccc3nc2-1,ChEMBL_CHEMBL10419,0,Preclinical,0.0
O=c1oc(Nc2ccccc2I)nc2cc(F)ccc12,ChEMBL_CHEMBL10435,0,Preclinical,0.0
O=C1O[C@H](c2ccc(F)cc2)[C@@](Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,ChEMBL_CHEMBL10444,0,Preclinical,0.0
O=C1O[C@H](c2ccc(F)cc2)[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,ChEMBL_CHEMBL10449,0,Preclinical,0.0
COc1ccccc1N1CCN(CCCC(O)c2ccc(F)cc2)CC1,ANISOPIROL,0,Phase II,2.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC[C@H](C)[C@H](O)C21,ChEMBL_CHEMBL10475,0,Preclinical,0.0
COCCN(C)CC(C(=O)Nc1c(C)cccc1C)N(C)CCOC,ChEMBL_CHEMBL10476,0,Preclinical,0.0
OC(c1ccc(F)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10489,0,Preclinical,0.0
NCCO,MONOETHANOLAMINE,0,Phase II,2.0
CN(C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H](/C=C/C(=O)N[C@@H]1CCCCNC1=O)Cc1ccc(Cl)c(Cl)c1,DNK333,0,Phase II,2.0
CC(c1ccccc1)C1C(=O)NC(=O)C1CCC(C(N)=O)C(CCC(CC(=O)O)C(N)=O)C(=O)O.N.N,ChEMBL_CHEMBL10511,0,Preclinical,0.0
Nc1c(O)c(Cl)cc(Cl)c1Cl,ChEMBL_CHEMBL10513,0,Preclinical,0.0
CCCCC(NC(=O)c1cc(-c2ccccc2)nc2ccccc12)c1ccccc1,ChEMBL_CHEMBL10517,0,Preclinical,0.0
CC(C)(C)C(=O)Oc1ccc(C(O)c2ccc(OC(=O)C(C)(C)C)cc2)cc1,ChEMBL_CHEMBL10529,0,Preclinical,0.0
O=C1O[C@H](c2ccc(Cl)cc2)[C@@](Cn2cncn2)(c2ccc(Cl)cc2)O1,ChEMBL_CHEMBL10531,0,Preclinical,0.0
Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,ALOVUDINE,0,Phase II,2.0
O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,CI-1040,0,Phase II,2.0
Cc1nc(N)ccc1CNC(=O)Cn1c(C)cc2c(c1=O)NC(=O)[C@H](Cc1ccccc1)C2,ChEMBL_CHEMBL10545,0,Preclinical,0.0
O=C1c2ccccc2C(=O)N1OCCCN1CCN(c2nsc3ccccc23)CC1,ChEMBL_CHEMBL10546,0,Preclinical,0.0
O=C(c1ccccc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10548,0,Preclinical,0.0
CCCCCc1ccc2nc(O)c(C(=O)Nc3ccc(OCCCCCCCC(=O)O)cc3)c(O)c2c1,ChEMBL_CHEMBL10558,0,Preclinical,0.0
COc1ccc(/C=C/Cc2cc3c(cc2OC)OCO3)cc1,ChEMBL_CHEMBL10559,0,Preclinical,0.0
CCCN1[C@H](C)CC2c3c(cccc3OC)CC[C@H]21,ChEMBL_CHEMBL10561,0,Preclinical,0.0
O=C(c1ccc(Cl)cc1Cl)C(O)(Cn1ccnc1)c1ccc(Cl)cc1,ChEMBL_CHEMBL10567,0,Preclinical,0.0
O=C(c1ccccc1Cl)C(O)(Cn1ccnc1)c1ccccc1Cl,ChEMBL_CHEMBL10568,0,Preclinical,0.0
COc1cc(NC(=O)COc2ccc(Cl)cc2)c(Cl)cc1C(=O)NCc1cccnc1,ChEMBL_CHEMBL10573,0,Preclinical,0.0
COc1ccc(C#Cc2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)s2)cc1,ChEMBL_CHEMBL10590,0,Preclinical,0.0
O=C(c1ccc(Cl)cc1Cl)C(O)(Cn1cncn1)c1ccc(Cl)cc1,ChEMBL_CHEMBL10593,0,Preclinical,0.0
O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)C1CCCC1,ChEMBL_CHEMBL10594,0,Preclinical,0.0
CC(C)C(C)(O)C(O)(Cn1cncn1)c1ccccc1,ChEMBL_CHEMBL10595,0,Preclinical,0.0
OC1(c2ccccc2)CN(CCBr)CCO1,ChEMBL_CHEMBL10599,0,Preclinical,0.0
CN(C)CC(c1ccccc1)c1ccccc1,ChEMBL_CHEMBL10602,0,Preclinical,0.0
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CCN)c(O)ccc3nc2-1,ChEMBL_CHEMBL10613,0,Preclinical,0.0
CC(=O)N(C)CC#CCN1CCCCC1CO,ChEMBL_CHEMBL10618,0,Preclinical,0.0
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(CCN)c(=O)nc1SCc1ccc(F)cc1,ChEMBL_CHEMBL10619,0,Preclinical,0.0
COc1cc(NC(=O)COc2ccc(Cl)cc2)c(Cl)cc1NCCN1CCCC1,ChEMBL_CHEMBL10620,0,Preclinical,0.0
CC(N)C(c1ccccc1)c1ccccc1,ChEMBL_CHEMBL10621,0,Preclinical,0.0
CCN(CC)CCNC(=O)c1cc(Cl)c(NC(=O)C(C)Oc2ccc(Cl)cc2)cc1OC,ChEMBL_CHEMBL10624,0,Preclinical,0.0
NC1=NCC(c2ccccc2)O1,AMINOREX,0,Phase II,2.0
CC(C)C(O)(Cn1cncn1)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,ChEMBL_CHEMBL10626,0,Preclinical,0.0
COc1c(Cl)c(O)c(C=O)c(OC)c1Cl,ChEMBL_CHEMBL10630,0,Preclinical,0.0
CC(C)C(=O)C(O)(Cn1cnnc1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10631,0,Preclinical,0.0
O=C(c1ccc(Cl)cc1Cl)C(O)(Cn1cnnc1)c1ccc(Cl)cc1,ChEMBL_CHEMBL10632,0,Preclinical,0.0
c1cc(CN2CCC(C3=NCCN3)CC2)ccc1CN1CCC(C2=NCCN2)CC1,ChEMBL_CHEMBL10637,0,Preclinical,0.0
CCOC(=O)c1ncc2c(c1CC)c1cc(OCc3ccccc3)ccc1n2C,ChEMBL_CHEMBL10638,0,Preclinical,0.0
OCCN(CCO)C(Cc1ccccc1)c1ccccc1,ChEMBL_CHEMBL10645,0,Preclinical,0.0
NCC(F)(c1ccccc1)c1ccccc1,ChEMBL_CHEMBL10647,0,Preclinical,0.0
CC(C)[C@H]1OC(=O)O[C@]1(Cn1cncn1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10649,0,Preclinical,0.0
COc1ccc(Sc2nc(N)nc3c2ncn3CCOCP(=O)(OCC(F)(F)F)OCC(F)(F)F)cc1,ALAMIFOVIR,0,Phase II,2.0
CCN(CC)CCNC(=O)c1cc(Cl)c(NC(=O)COc2ccccc2Cl)cc1OC,ChEMBL_CHEMBL10652,0,Preclinical,0.0
CCN(CC)CCN(Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(=O)Cn1cc(CCNC(C)=O)c(=O)nc1SCc1ccc(F)cc1,ChEMBL_CHEMBL10659,0,Preclinical,0.0
CCN(CC)CCN(Cc1ccc(-c2ccc(Cl)cc2)cc1)C(=O)Cn1c(SCc2ccc(F)cc2)nc(=O)c2c1CCC2,ChEMBL_CHEMBL10663,0,Preclinical,0.0
O=C(N[C@@H](Cc1ccccc1)CN1CCN(c2nsnc2Cl)CC1)c1ccccn1,ChEMBL_CHEMBL10664,0,Preclinical,0.0
NC(=O)N1c2ccccc2CC(O)c2ccccc21,LICARBAZEPINE,1,Phase III,3.0
CC(CN(CCO)CCO)(c1ccccc1)c1ccccc1,ChEMBL_CHEMBL10670,0,Preclinical,0.0
CSc1ccc(-c2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)cc2)cc1,ChEMBL_CHEMBL10671,0,Preclinical,0.0
CO[C@H](C#Cc1ccccc1)C(NS(=O)(=O)c1ccc(-c2ccc(SC)cc2)cc1)C(=O)O,ChEMBL_CHEMBL10674,0,Preclinical,0.0
CCCN1CCC2c3c(cccc3OC)CCC21,ChEMBL_CHEMBL10677,0,Preclinical,0.0
CC1CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(Cl)CC2(C)[C@@]1(OC(=O)c1cccs1)C(=O)CO,ChEMBL_CHEMBL10679,0,Preclinical,0.0
O=C(O)CCC/C=C\C[C@H]1[C@H](NS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2,ChEMBL_CHEMBL10680,0,Preclinical,0.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1C[C@H](O)[C@H](C)CC21,ChEMBL_CHEMBL10681,0,Preclinical,0.0
O=C1c2ccccc2C(=O)N1OCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,ChEMBL_CHEMBL10682,0,Preclinical,0.0
CCN(CC)CCNC(=O)c1cc(Cl)c(NC(=O)COc2cccc(Cl)c2Cl)cc1OC,ChEMBL_CHEMBL10684,0,Preclinical,0.0
CN1CCN(CCCN2CCN(C)CC2)CC1,ChEMBL_CHEMBL10688,0,Preclinical,0.0
OC(c1ccc(F)cc1)C(O)(Cn1cncn1)c1ccc(F)cc1,ChEMBL_CHEMBL10691,0,Preclinical,0.0
Cc1ccccc1N1CCN(CCCON2C(=O)c3ccccc3C2=O)CC1,ChEMBL_CHEMBL10692,0,Preclinical,0.0
CCN(CC)CCNC(=O)c1cc(Cl)c(NC(=O)C(C)(C)Oc2ccc(Cl)cc2)cc1OC,ChEMBL_CHEMBL10700,0,Preclinical,0.0
CCOC(=O)c1cc2c3cc(OCc4ccccc4)ccc3n(C)c2cn1,ChEMBL_CHEMBL10701,0,Preclinical,0.0
CCNCCC(c1ccccc1)c1ccccc1,ChEMBL_CHEMBL10702,0,Preclinical,0.0
CCCCCc1cc(OC(C)=O)c2c(c1)OC(C)(C)[C@@H]1CCC(COC(C)=O)CC21,ChEMBL_CHEMBL10707,0,Preclinical,0.0
CC(C)C(O)C(O)(Cn1cncn1)c1ccc(Cl)cc1,ChEMBL_CHEMBL10713,0,Preclinical,0.0
N[C@@H](Cc1ccccc1)[C@H](O)/C=C/C(=O)O,ChEMBL_CHEMBL10717,0,Preclinical,0.0
CCN(CC)C(=S)[S-].[Na+],DITIOCARB SODIUM,0,Phase II,2.0
C[N+]1(C)CCOC(O)(c2ccccc2)C1,ChEMBL_CHEMBL10731,0,Preclinical,0.0
c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,QUINUPRAMINE,0,Phase II,2.0
Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1,FARGLITAZAR,0,Phase II,2.0
Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,SOBETIROME,0,Phase II,2.0
CCCCC(O)(Cn1cncn1)C(C)(O)c1ccc(Cl)cc1,ChEMBL_CHEMBL10743,0,Preclinical,0.0
CC1(C)CCC(C)(C)c2c1cc(C(=O)Nc1cc(F)c(C(=O)O)c(F)c1)c(O)c2Cl,NRX195183,0,Phase II,2.0
O=C(O)COC/C=C\C[C@H]1[C@H](NS(=O)(=O)c2ccc(F)cc2)C2CC1(c1ccc(F)cc1)CO2,ChEMBL_CHEMBL10748,0,Preclinical,0.0
COc1ccc(C(CN)c2ccc(OC)c(OC)c2)cc1OC,ChEMBL_CHEMBL10754,0,Preclinical,0.0
CC(C)C(O)(Cn1cncn1)C(C)(O)c1ccc(Cl)cc1,ChEMBL_CHEMBL10755,0,Preclinical,0.0
Cc1cccc2nc(NC(C)C)oc(=O)c12,ChEMBL_CHEMBL10756,0,Preclinical,0.0
COc1ccc2nc(Nc3ccccc3I)oc(=O)c2c1,ChEMBL_CHEMBL10757,0,Preclinical,0.0
c1ccc2c(c1)cc1n2CCCNC1,AZEPINDOLE,0,Phase II,2.0
O=C(O)CCC/C=C/C[C@H]1[C@H](COCc2ccccc2)C2CC1(c1ccc(F)cc1)CO2,ChEMBL_CHEMBL10772,0,Preclinical,0.0
CC1(C)CCC[C@H](NC(=O)[C@@H](S)Cc2ccccc2)C(=O)N1CC(=O)O,GEMOPATRILAT,0,Phase II,2.0
CCCCC(=O)C(O)(Cn1ccnc1)c1ccc(Cl)cc1Cl,ChEMBL_CHEMBL10776,0,Preclinical,0.0
C[C@@H](c1ccccc1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,ChEMBL_CHEMBL10778,0,Preclinical,0.0
NCC(c1ccccc1)c1ccccc1,ChEMBL_CHEMBL10780,0,Preclinical,0.0
Cc1nc(N)ccc1CNC(=O)Cn1c(C)cc2c(c1=O)NC(=O)[C@H](CC1CC1)C2,ChEMBL_CHEMBL10785,0,Preclinical,0.0
O=C(O)C1CN=C(c2ccccc2O)N1,ChEMBL_CHEMBL10787,0,Preclinical,0.0
CCCCCCCCCCCCC(=O)O,TRIDECANOATE,0,Phase II,2.0
CCN(CC)CCNC(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2)cc1,ChEMBL_CHEMBL10791,0,Preclinical,0.0
NC(=O)N1c2ccccc2C=Cc2ccccc21,CARBAMAZEPINE,1,Approved,4.0
CCN(CC)CCCNC(=O)c1cc(Cl)c(NC(=O)COc2ccc(Cl)cc2)cc1OC,ChEMBL_CHEMBL10802,0,Preclinical,0.0
CCCCCCCCCCC(=O)O,UNDECANOATE,1,Phase III,3.0
N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,LAMIFIBAN,0,Phase II,2.0
CC(c1ccccc1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,ChEMBL_CHEMBL10815,0,Preclinical,0.0
COC(=O)CCC1=CCN(NC(=O)c2ccccc2)CC1,ChEMBL_CHEMBL10818,0,Preclinical,0.0
COC(=O)CCC1=CCCN(NC(=O)c2ccccc2)C1,ChEMBL_CHEMBL10828,0,Preclinical,0.0
NC(=O)c1csc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,TIAZOFURIN,0,Phase II,2.0
Cc1ccc(C)n1Nc1ccc(N(CCO)CCO)nn1,ChEMBL_CHEMBL10838,0,Preclinical,0.0
CCOCCOCCN(CCCCCSc1nc(-c2ccccc2)c(-c2ccccc2)[nH]1)C(=O)Nc1ccc(F)cc1F,ChEMBL_CHEMBL10844,0,Preclinical,0.0
CCC1(CC)C(=O)N(COC(=O)c2ccccc2)C1Sc1nc2ccccc2o1,ChEMBL_CHEMBL10849,0,Preclinical,0.0
CC(C)=CCC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,ChEMBL_CHEMBL10850,0,Preclinical,0.0
CC/C(=C(\c1ccccc1)c1ccc(OC(C)=O)cc1)c1ccc(OC(C)=O)cc1,ChEMBL_CHEMBL10852,0,Preclinical,0.0
CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3ccc(C)nc32)CC1,ChEMBL_CHEMBL10855,0,Preclinical,0.0
CCCCC(=O)O[C@]1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC21C,ChEMBL_CHEMBL10858,0,Preclinical,0.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1C[C@H](O)C(C)CC21,ChEMBL_CHEMBL10866,0,Preclinical,0.0
Cc1cccc(N2CCN(CCCON3C(=O)CC4(CCCC4)CC3=O)CC2)c1,ChEMBL_CHEMBL10875,0,Preclinical,0.0
COc1ccc2cccc(CCNC(C)=O)c2c1,AGOMELATINE,1,Approved,4.0
N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2,SITAFLOXACIN ANHYDROUS,1,Phase III,3.0
CCN(CC)CCNC(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2)c(Cl)c1,ChEMBL_CHEMBL10884,0,Preclinical,0.0
COc1ccccc1N1CCN(CCCON2C(=O)c3ccccc3C2=O)CC1,ChEMBL_CHEMBL10907,0,Preclinical,0.0
